Acquisition frequency: 100 Hz
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
0.0	6.238761	-0.223114	7.676853	-0.007544	-0.00201	-0.00069	-0.590576	-0.130615	-0.295654
1.0	6.239009	-0.223713	7.676634	-0.01017	-0.004375	-0.00191	-0.581787	-0.130615	-0.295654
2.0	6.239438	-0.224457	7.676264	-0.014162	-0.006612	-0.004182	-0.588135	-0.132813	-0.29126
3.0	6.234069	-0.222373	7.65219	-0.015863	-0.01157	-0.008205	-0.585938	-0.132813	-0.295654
4.0	6.225497	-0.244646	7.676677	-0.016534	-0.010601	-0.010427	-0.585938	-0.132813	-0.289063
5.0	6.235541	-0.223064	7.650971	-0.005516	-0.004391	-0.015591	-0.58374	-0.132813	-0.286865
6.0	6.25358	-0.237538	7.644341	0.004655	-1.7e-05	-0.013681	-0.583984	-0.130615	-0.293457
7.0	6.27268	-0.186449	7.670997	-0.000471	0.00558	-0.014911	-0.586182	-0.130615	-0.297852
8.0	6.244305	-0.198781	7.62638	0.001667	0.013002	-0.007034	-0.588379	-0.130615	-0.297852
9.0	6.264795	-0.182188	7.649034	0.003622	0.016336	-0.008035	-0.58374	-0.132813	-0.29126
10.0	6.281011	-0.196788	7.643905	0.003745	0.026665	-0.006824	-0.592529	-0.130859	-0.289063
11.0	6.209881	-0.168951	7.666784	-0.000481	0.027863	-0.007466	-0.58374	-0.132813	-0.293457
12.0	6.269514	-0.159832	7.627715	-0.032268	-0.00071	-0.013712	-0.581543	-0.132813	-0.289063
13.0	6.21363	-0.180571	7.614911	-0.022658	0.026109	-0.009083	-0.588379	-0.130615	-0.29126
14.0	6.249802	-0.246168	7.598717	-0.018849	0.024265	-0.015689	-0.58374	-0.132813	-0.293457
15.0	6.251548	-0.214998	7.628563	-0.011283	0.028092	-0.018388	-0.58374	-0.132813	-0.289063
16.0	6.273208	-0.232695	7.647432	-0.005908	0.032019	-0.018454	-0.592529	-0.130859	-0.286865
17.0	6.230021	-0.132988	7.672142	-0.002136	0.039509	-0.017941	-0.583984	-0.130615	-0.29126
18.0	6.235406	-0.168889	7.69333	0.002648	0.039974	-0.015956	-0.581543	-0.132813	-0.293457
19.0	6.244214	-0.180166	7.665892	0.001278	0.04011	-0.017012	-0.588135	-0.137207	-0.29126
20.0	6.232475	-0.142524	7.649901	-0.006318	0.047438	-0.0106	-0.585938	-0.132813	-0.293457
21.0	6.200313	-0.20706	7.728388	0.001217	0.049464	-0.009899	-0.581543	-0.132813	-0.293457
22.0	6.233654	-0.178101	7.67453	0.006481	0.043059	-0.011173	-0.586182	-0.130615	-0.295654
23.0	6.218207	-0.164659	7.70733	0.003932	0.049226	-0.0078	-0.588135	-0.13501	-0.293457
24.0	6.181066	-0.16728	7.718426	0.00406	0.048426	-0.010316	-0.58374	-0.13501	-0.293457
25.0	6.195481	-0.181913	7.714838	0.001382	0.042431	-0.004758	-0.588379	-0.130615	-0.297852
26.0	6.125378	-0.188482	7.733551	-0.000654	0.04354	-0.008042	-0.581787	-0.128418	-0.293457
27.0	6.134532	-0.200708	7.705899	-0.003534	0.029817	-0.004572	-0.583496	-0.13916	-0.295654
28.0	6.153791	-0.184836	7.729502	-0.004122	0.026347	-0.002521	-0.58374	-0.13501	-0.293457
29.0	6.155588	-0.160545	7.682317	-0.005268	0.021221	-0.001813	-0.585938	-0.132813	-0.293457
30.0	6.195874	-0.194531	7.694254	-0.012002	0.017417	-0.002817	-0.583984	-0.130615	-0.295654
31.0	6.16364	-0.232855	7.698471	-0.011198	0.015635	-0.003104	-0.583984	-0.130615	-0.299805
32.0	6.147098	-0.252254	7.700904	-0.009588	0.012067	-0.003677	-0.585938	-0.132813	-0.299805
33.0	6.15577	-0.230722	7.676503	-0.002469	0.011622	-0.006813	-0.583984	-0.128418	-0.295654
34.0	6.169275	-0.270022	7.719388	0.002035	0.008805	-0.011179	-0.58374	-0.136963	-0.297607
35.0	6.19148	-0.194026	7.697803	0.010347	0.002325	-0.018743	-0.583984	-0.128418	-0.295654
36.0	6.173402	-0.176777	7.704333	0.010346	0.002327	-0.018743	-0.585938	-0.132813	-0.297852
37.0	6.185218	-0.187151	7.674672	0.010372	0.004149	-0.02214	-0.585938	-0.132813	-0.295654
38.0	6.200667	-0.166356	7.67313	0.00784	-0.002672	-0.019092	-0.583984	-0.128418	-0.29126
39.0	6.17678	-0.146432	7.65604	0.006809	0.004374	-0.020574	-0.583984	-0.130615	-0.295654
40.0	6.157457	-0.187741	7.706505	0.012537	0.002244	-0.021371	-0.585938	-0.132813	-0.293457
41.0	6.190851	-0.182051	7.698601	0.007864	-0.000846	-0.02249	-0.583984	-0.130615	-0.297852
42.0	6.206355	-0.161181	7.696996	0.012507	0.000429	-0.017977	-0.581787	-0.130615	-0.297852
43.0	6.19093	-0.178021	7.698631	0.010448	-0.000288	-0.017865	-0.585938	-0.132813	-0.289063
44.0	6.202843	-0.188444	7.668917	0.01431	0.004592	-0.016463	-0.581543	-0.132813	-0.295654
45.0	6.217866	-0.167589	7.667689	0.014727	0.00706	-0.012609	-0.58374	-0.13501	-0.293457
46.0	6.201756	-0.184164	7.6699	0.020921	0.011043	-0.016346	-0.588379	-0.128662	-0.286865
47.0	6.188842	-0.169054	7.700513	0.02025	0.01202	-0.018575	-0.588135	-0.13501	-0.293457
48.0	6.215435	-0.159663	7.669829	0.027224	0.012403	-0.0192	-0.585938	-0.13501	-0.297607
49.0	6.199815	-0.110038	7.705254	0.022855	0.014407	-0.01735	-0.58374	-0.132813	-0.293457
50.0	6.213147	-0.153915	7.6718	0.019066	0.019887	-0.017556	-0.57959	-0.130615	-0.29126
51.0	6.132848	-0.146092	7.718707	0.02054	0.017134	-0.015613	-0.585693	-0.13916	-0.299805
52.0	6.141276	-0.121974	7.694471	0.019406	0.012001	-0.014898	-0.585938	-0.132813	-0.289063
53.0	6.166843	-0.171814	7.707764	0.015986	0.011407	-0.015844	-0.58374	-0.132813	-0.295654
54.0	6.181531	-0.15087	7.70676	0.012683	0.00818	-0.015902	-0.585938	-0.13501	-0.297607
55.0	6.18096	-0.148953	7.707255	0.013351	0.007209	-0.013674	-0.58374	-0.137207	-0.29126
56.0	6.168247	-0.134472	7.737599	0.014735	0.008907	-0.016017	-0.585938	-0.132813	-0.297852
57.0	6.244066	-0.104013	7.697024	0.004989	0.005127	-0.01071	-0.579346	-0.13916	-0.29541
58.0	6.179382	-0.144546	7.708604	0.000623	0.007122	-0.008861	-0.581543	-0.13501	-0.293457
59.0	6.18844	-0.122133	7.683824	0.002264	0.005377	-0.012827	-0.58374	-0.132813	-0.295654
60.0	6.193962	-0.123949	7.707661	0.004296	0.004281	-0.00954	-0.583496	-0.13916	-0.293457
61.0	6.205605	-0.135525	7.678249	0.003368	0.008696	-0.010146	-0.581543	-0.136963	-0.295654
62.0	6.18962	-0.153471	7.680372	0.004178	0.006914	-0.010429	-0.581543	-0.13501	-0.293457
63.0	6.192135	-0.12102	7.709175	0.005996	0.012904	-0.01232	-0.583984	-0.130615	-0.295654
64.0	6.200936	-0.098374	7.684602	0.002122	0.00619	-0.010317	-0.581299	-0.13916	-0.293457
65.0	6.175268	-0.137935	7.712021	0.007216	0.013592	-0.00875	-0.585938	-0.137207	-0.295654
66.0	6.205104	-0.099159	7.709536	0.003248	0.011333	-0.011037	-0.58374	-0.13501	-0.295654
67.0	6.219134	-0.144821	7.67571	0.004727	0.008577	-0.009089	-0.581543	-0.136963	-0.297607
68.0	6.203621	-0.097359	7.710753	0.002554	0.010485	-0.009867	-0.58374	-0.13501	-0.293457
69.0	6.193473	-0.125144	7.659903	0.002867	0.017411	-0.010306	-0.58374	-0.13501	-0.297607
