Acquisition frequency: 100 Hz
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
0.0	8.057461	-0.592881	3.504767	-0.010055	-0.093618	-0.069634	-0.453125	0.158447	-0.679443
1.0	7.88853	-0.548803	3.512312	0.00366	-0.100557	-0.057296	-0.450928	0.15625	-0.674805
2.0	7.805865	-0.494933	3.447133	0.038558	-0.139527	-0.047753	-0.453125	0.154053	-0.672363
3.0	7.54001	-0.505791	3.301446	0.032526	-0.156367	-0.033066	-0.453125	0.154053	-0.674805
4.0	7.264964	-0.544049	3.083408	-0.009247	-0.156358	-0.016968	-0.455322	0.154053	-0.677002
5.0	7.02277	-0.671266	2.757817	-0.0663	-0.21865	0.010065	-0.459961	0.158447	-0.667969
6.0	6.821441	-0.892445	2.444336	-0.141682	-0.339132	0.042128	-0.455322	0.15625	-0.672363
7.0	6.976971	-1.037498	2.154942	-0.140269	-0.483136	0.078203	-0.4646	0.162842	-0.667969
8.0	7.627366	-0.882392	2.016754	-0.053027	-0.680743	0.157088	-0.468994	0.1604	-0.665771
9.0	8.6222	-0.421033	2.16043	0.011962	-0.83915	0.25114	-0.464844	0.166992	-0.656738
10.0	9.789257	-0.032733	2.487032	-0.073807	-0.915841	0.345834	-0.47583	0.162598	-0.656494
11.0	10.778633	0.073781	2.653212	-0.189519	-0.797078	0.398892	-0.48291	0.166992	-0.647217
12.0	11.383263	-0.133053	2.612117	-0.249716	-0.584212	0.386548	-0.478271	0.166992	-0.640381
13.0	11.8279	-0.39821	2.632608	-0.21807	-0.410317	0.32162	-0.48291	0.166992	-0.64502
14.0	12.169897	-0.56632	2.717655	-0.218892	-0.329217	0.233679	-0.485352	0.175781	-0.645264
15.0	12.210364	-0.856777	2.830986	-0.252948	-0.183208	0.145982	-0.48291	0.171387	-0.640625
16.0	11.918503	-1.300654	2.939771	-0.276656	0.030361	0.069384	-0.485596	0.177979	-0.647705
17.0	11.378033	-1.696154	3.114407	-0.229186	0.124111	0.025038	-0.480957	0.177979	-0.638428
18.0	11.013953	-1.742061	3.308881	-0.104402	0.036595	0.004099	-0.480957	0.177979	-0.640869
19.0	11.007994	-1.427645	3.480789	0.040021	-0.170207	0.007117	-0.483154	0.177979	-0.643066
20.0	11.273648	-0.98895	3.317364	0.087012	-0.391183	0.022835	-0.48584	0.18457	-0.638672
21.0	11.575971	-0.713631	2.792197	0.088694	-0.474768	0.051755	-0.483398	0.180176	-0.631592
22.0	11.758469	-0.498427	2.428565	0.101294	-0.413627	0.069862	-0.492188	0.177979	-0.63623
23.0	11.884777	-0.239967	2.220181	0.075975	-0.26454	0.072585	-0.48999	0.177979	-0.631592
24.0	11.842764	-0.140388	2.265611	-0.02681	-0.073614	0.066829	-0.48999	0.180176	-0.633789
25.0	11.630682	-0.20584	2.390199	-0.099537	0.138798	0.036491	-0.48999	0.180176	-0.631592
26.0	11.260706	-0.325589	2.585511	-0.093175	0.294165	0.007834	-0.487793	0.180176	-0.631592
27.0	10.753453	-0.391079	2.860238	-0.099352	0.379824	-0.017416	-0.487793	0.180176	-0.633789
28.0	10.295955	-0.523241	2.9659	-0.122507	0.38412	-0.040476	-0.487793	0.177979	-0.638428
29.0	9.913063	-0.675412	3.016406	-0.122735	0.326631	-0.065491	-0.481201	0.180176	-0.640869
30.0	9.598826	-0.824776	3.011332	-0.115588	0.249711	-0.074864	-0.483398	0.182373	-0.640869
31.0	9.395734	-0.886481	3.014881	-0.095109	0.174956	-0.076772	-0.481201	0.18457	-0.643311
32.0	9.201326	-0.916507	2.98516	-0.047576	0.14227	-0.069099	-0.474365	0.180176	-0.643066
33.0	9.123514	-0.858989	2.993291	0.000682	0.100233	-0.057031	-0.479004	0.18457	-0.641113
34.0	9.097705	-0.816586	3.059386	0.007518	0.072875	-0.043097	-0.483154	0.175781	-0.643066
35.0	9.185814	-0.794093	2.935711	0.024145	0.044338	-0.038462	-0.483398	0.182373	-0.643311
36.0	9.191839	-0.726873	2.861143	0.047762	0.039197	-0.043655	-0.481201	0.180176	-0.647705
37.0	9.16876	-0.667168	2.770282	0.052485	0.052671	-0.04872	-0.479004	0.182373	-0.647949
