Acquisition frequency: 100 Hz
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
0.0	6.718457	4.276646	6.430293	-0.003483	0.013882	-0.014866	-0.679443	-0.14624	-0.200684
1.0	6.726175	4.230989	6.443886	-0.009341	0.007013	-0.016321	-0.683838	-0.14624	-0.200684
2.0	6.748474	4.264999	6.455719	-0.003705	0.012378	-0.015957	-0.682129	-0.137451	-0.196289
3.0	6.723602	4.262809	6.462202	-0.004107	0.006604	-0.017498	-0.686035	-0.148438	-0.196045
4.0	6.722281	4.233225	6.446479	-0.007561	0.011686	-0.014473	-0.685791	-0.150635	-0.198486
5.0	6.730052	4.21794	6.476613	-0.002545	0.009769	-0.016745	-0.679688	-0.141846	-0.205322
6.0	6.719736	4.265194	6.464649	-0.004328	0.0051	-0.018588	-0.681885	-0.141846	-0.200928
7.0	6.742253	4.238858	6.442862	-0.007017	0.001792	-0.0179	-0.693115	-0.137451	-0.207764
8.0	6.73213	4.25573	6.414137	-0.004331	0.005103	-0.018585	-0.681885	-0.144043	-0.193848
9.0	6.711949	4.261004	6.44315	0.000646	0.005949	-0.021501	-0.681641	-0.148438	-0.205322
10.0	6.767079	4.222152	6.444733	-0.004511	0.000837	-0.019033	-0.681885	-0.139648	-0.196289
11.0	6.70988	4.263335	6.443762	-0.001826	0.004149	-0.019718	-0.686279	-0.141846	-0.200928
12.0	6.736995	4.244607	6.444577	0.000724	0.000432	-0.020208	-0.686279	-0.144043	-0.205322
13.0	6.736138	4.245811	6.44468	-0.002911	0.001242	-0.017634	-0.67749	-0.141846	-0.200928
14.0	6.758849	4.250161	6.439073	0.000504	-0.001072	-0.021299	-0.686035	-0.14624	-0.196289
15.0	6.753365	4.244518	6.416156	0.002063	0.002093	-0.020547	-0.683838	-0.14624	-0.198486
16.0	6.733383	4.280245	6.461384	0.000937	0.001945	-0.019109	-0.688232	-0.14624	-0.198486
17.0	6.727912	4.274153	6.438743	-0.007028	0.001799	-0.017888	-0.686035	-0.14624	-0.200684
18.0	6.726982	4.275291	6.43896	0.003662	0.0025	-0.019149	-0.67749	-0.141846	-0.200928
19.0	6.749548	4.279626	6.433521	-0.004085	0.00386	-0.016835	-0.686279	-0.144043	-0.193848
20.0	6.739247	4.296422	6.404991	-0.003478	0.011143	-0.014197	-0.688232	-0.144043	-0.196289
21.0	6.723614	4.277968	6.440699	-0.003218	0.00989	-0.012459	-0.684082	-0.141846	-0.200928
22.0	6.741337	4.274626	6.413042	-0.003263	0.012653	-0.013101	-0.681885	-0.141846	-0.198486
23.0	6.763406	4.27838	6.408538	-0.007639	0.014461	-0.015096	-0.679688	-0.144043	-0.203125
24.0	6.742778	4.282834	6.438484	-0.007208	0.017477	-0.012907	-0.686035	-0.14624	-0.198486
25.0	6.741265	4.252686	6.423468	-0.010366	0.018533	-0.007505	-0.688477	-0.141846	-0.205322
26.0	6.734939	4.275957	6.418875	-0.008859	0.019842	-0.01494	-0.681885	-0.141846	-0.198486
27.0	6.742306	4.260059	6.449866	-0.013359	0.01924	-0.009197	-0.688477	-0.139648	-0.203125
28.0	6.740577	4.259956	6.451741	-0.010896	0.021052	-0.010971	-0.681885	-0.141846	-0.198486
29.0	6.729739	4.24585	6.407718	-0.008386	0.0201	-0.012103	-0.684082	-0.141846	-0.205322
30.0	6.76069	4.263402	6.44953	-0.010806	0.015528	-0.009685	-0.684082	-0.139648	-0.198486
31.0	6.731144	4.252985	6.433874	-0.013582	0.01774	-0.010284	-0.679932	-0.139648	-0.200928
32.0	6.729438	4.252793	6.435786	-0.013417	0.022014	-0.009827	-0.681885	-0.144043	-0.200684
33.0	6.718515	4.268633	6.408592	-0.013634	0.02051	-0.01092	-0.679688	-0.144043	-0.203125
34.0	6.749315	4.28563	6.450916	-0.0184	0.021161	-0.006914	-0.684082	-0.144043	-0.203125
35.0	6.742865	4.277995	6.430404	-0.019453	0.026198	-0.013848	-0.686035	-0.14624	-0.196289
36.0	6.750161	4.290531	6.479097	-0.044043	0.017885	0.003063	-0.679688	-0.141846	-0.196289
37.0	6.730547	4.230543	6.477403	-0.056731	0.011008	0.001371	-0.681885	-0.144043	-0.205322
38.0	6.720632	4.242791	6.45157	-0.057965	0.0164	0.001544	-0.684082	-0.141846	-0.198486
39.0	6.724303	4.215833	6.461299	-0.056587	0.015306	0.001854	-0.681641	-0.14624	-0.193848
40.0	6.746808	4.21536	6.459225	-0.05552	0.018238	-0.000204	-0.684082	-0.141846	-0.196289
41.0	6.75053	4.188802	6.468593	-0.053555	0.007243	-0.003357	-0.681885	-0.139648	-0.203125
42.0	6.75921	4.258495	6.447438	-0.041674	0.022517	0.000722	-0.679932	-0.137451	-0.19873
43.0	6.757991	4.225724	6.433838	-0.039376	0.020065	-0.001508	-0.686035	-0.14624	-0.200684
44.0	6.737443	4.227139	6.465406	-0.039645	0.021335	-0.003232	-0.679688	-0.141846	-0.194092
45.0	6.707943	4.214806	6.450922	-0.034613	0.019431	-0.005503	-0.682129	-0.135254	-0.203125
46.0	6.753522	4.219656	6.442507	-0.026423	0.021085	-0.005615	-0.679688	-0.141846	-0.200928
47.0	6.732959	4.191815	6.456839	-0.03055	0.02165	-0.005868	-0.681885	-0.139648	-0.205322
48.0	6.726712	4.213645	6.453249	-0.025514	0.019743	-0.008142	-0.679932	-0.139648	-0.198486
49.0	6.73413	4.166459	6.468004	-0.018762	0.025275	-0.009176	-0.681885	-0.144043	-0.200684
50.0	6.755816	4.199459	6.481307	-0.013783	0.013552	-0.01067	-0.684082	-0.139648	-0.203125
51.0	6.721711	4.212191	6.459406	-0.016619	0.018545	-0.011885	-0.684082	-0.139648	-0.203125
52.0	6.747993	4.222231	6.478754	-0.010683	0.019885	-0.009128	-0.681885	-0.139648	-0.200928
53.0	6.746562	4.192158	6.4636	-0.009977	0.017033	-0.012763	-0.686523	-0.137451	-0.203125
54.0	6.744924	4.192609	6.465017	-0.006538	0.014731	-0.016436	-0.686279	-0.139648	-0.200928
55.0	6.743401	4.19328	6.46617	-0.004885	0.012356	-0.014412	-0.681885	-0.141846	-0.200928
56.0	6.737586	4.187171	6.444121	-0.001234	0.011558	-0.016982	-0.679688	-0.144043	-0.203125
57.0	6.712531	4.184824	6.450562	-0.003548	0.014019	-0.01474	-0.684082	-0.141846	-0.205322
58.0	6.747953	4.17997	6.498075	0.000813	0.01037	-0.020947	-0.684082	-0.139648	-0.207764
59.0	6.737493	4.197473	6.469607	0.001757	0.010846	-0.015287	-0.684082	-0.139648	-0.205322
60.0	6.731839	4.191824	6.447101	0.003859	0.006885	-0.018628	-0.68457	-0.133057	-0.196533
61.0	6.734926	4.200476	6.470331	0.007719	0.007595	-0.020095	-0.684082	-0.141846	-0.200928
62.0	6.729219	4.195466	6.447468	0.008638	0.006249	-0.022627	-0.68457	-0.133057	-0.200928
63.0	6.732207	4.204615	6.470473	0.011368	0.006803	-0.022661	-0.684082	-0.144043	-0.200684
64.0	6.73065	4.20695	6.470575	0.012648	0.011241	-0.023614	-0.686279	-0.141846	-0.198486
65.0	6.733399	4.216472	6.493578	0.013413	0.00562	-0.02662	-0.681885	-0.139648	-0.203125
66.0	6.746632	4.20853	6.442063	0.016293	0.010454	-0.026177	-0.679932	-0.137451	-0.200928
67.0	6.725758	4.214926	6.47047	0.013616	0.007131	-0.025513	-0.681885	-0.141846	-0.203125
68.0	6.748112	4.190677	6.448123	0.012011	0.006739	-0.026906	-0.681885	-0.141846	-0.198486
69.0	6.750801	4.200297	6.47113	0.013553	0.009911	-0.026132	-0.681885	-0.141846	-0.200928
70.0	6.71656	4.21594	6.447312	0.01886	0.006747	-0.026673	-0.684082	-0.141846	-0.198486
71.0	6.714945	4.218674	6.447207	0.012418	0.009758	-0.024696	-0.684082	-0.141846	-0.205322
72.0	6.731097	4.218943	6.522384	0.011346	0.006828	-0.022637	-0.686279	-0.141846	-0.198486
73.0	6.758959	4.230027	6.436478	0.011018	0.010871	-0.024987	-0.684082	-0.141846	-0.196289
74.0	6.729041	4.251852	6.436128	0.00671	0.011739	-0.018165	-0.684082	-0.144043	-0.200684
75.0	6.741227	4.214716	6.471736	0.010393	0.006361	-0.028282	-0.686035	-0.148438	-0.196045
76.0	6.735054	4.240098	6.465586	0.007481	0.00612	-0.021165	-0.681641	-0.14624	-0.200684
77.0	6.729333	4.234987	6.442818	0.005817	0.008498	-0.023185	-0.686279	-0.141846	-0.205322
78.0	6.751485	4.240178	6.437643	0.003147	0.005167	-0.022525	-0.679688	-0.144043	-0.200684
79.0	6.730975	4.245485	6.466299	0.002018	0.005008	-0.021094	-0.684082	-0.144043	-0.198486
80.0	6.73023	4.21666	6.449874	-0.001634	0.005794	-0.018532	-0.679688	-0.141846	-0.196289
81.0	6.752492	4.221518	6.444819	0.002875	0.006442	-0.024245	-0.683838	-0.14624	-0.203125
82.0	6.727317	4.25004	6.467113	0.003267	-0.000373	-0.021267	-0.684082	-0.139648	-0.196289
83.0	6.72682	4.221439	6.450305	0.000474	0.001843	-0.021858	-0.686279	-0.144043	-0.198486
84.0	6.749335	4.226334	6.444969	0.000472	0.001844	-0.021857	-0.684082	-0.141846	-0.203125
85.0	6.752959	4.204732	6.451369	0.000407	0.00462	-0.022481	-0.683838	-0.14624	-0.198486
86.0	6.742217	4.252589	6.43917	-5e-06	0.001612	-0.024677	-0.681885	-0.144043	-0.200684
87.0	6.750163	4.23809	6.468477	-0.001134	0.001451	-0.023247	-0.67749	-0.144043	-0.198486
88.0	6.740507	4.225698	6.422541	0.004116	0.001072	-0.024409	-0.684082	-0.144043	-0.193848
89.0	6.738969	4.257517	6.439313	-0.002469	-0.000214	-0.022915	-0.679688	-0.141846	-0.203125
90.0	6.738499	4.2287	6.422672	-0.002266	0.001293	-0.021815	-0.681885	-0.144043	-0.198486
91.0	6.732066	4.283335	6.433528	-0.002333	0.004069	-0.022438	-0.681641	-0.148438	-0.200684
92.0	6.726086	4.218931	6.480822	-0.002269	0.001296	-0.021811	-0.688477	-0.139648	-0.198486
93.0	6.730533	4.255893	6.417098	-0.001077	-0.001312	-0.022612	-0.684082	-0.139648	-0.198486
94.0	6.753157	4.260641	6.411772	-0.005	0.000736	-0.021776	-0.681885	-0.144043	-0.200684
