Acquisition frequency: 100 Hz
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
0.0	5.472776	2.047336	8.423092	-0.007681	0.009461	-0.010381	-0.605469	-0.049072	-0.444336
1.0	5.487515	1.988531	8.471326	-0.008399	0.01018	-0.012355	-0.609863	-0.049072	-0.439697
2.0	5.475819	2.008493	8.462394	-0.005329	0.01084	-0.014748	-0.607422	-0.05127	-0.439697
3.0	5.490485	2.008124	8.444473	-0.006497	0.009414	-0.013604	-0.605469	-0.049072	-0.439697
4.0	5.473537	2.008872	8.46378	-0.009118	0.0109	-0.014327	-0.605225	-0.05127	-0.4375
5.0	5.477162	2.043102	8.467396	-0.004612	0.010124	-0.01277	-0.609619	-0.053467	-0.439697
6.0	5.497179	2.003795	8.487305	-0.003894	0.009406	-0.010795	-0.605225	-0.05127	-0.435059
7.0	5.371122	2.080639	8.410974	-0.003894	0.009406	-0.010795	-0.607666	-0.049072	-0.439697
8.0	5.655959	2.048172	8.527181	-0.010431	0.001515	-0.009142	-0.60083	-0.05127	-0.439697
9.0	5.365988	1.95828	8.412837	-0.008995	0.010207	-0.010736	-0.609619	-0.05127	-0.4375
10.0	5.467771	2.009386	8.467385	-0.003445	0.011555	-0.013908	-0.605225	-0.05127	-0.439697
11.0	5.570152	2.045762	8.490708	-0.006355	0.007249	-0.012095	-0.609619	-0.05127	-0.439697
12.0	5.461338	1.975961	8.465394	-0.001665	0.001356	-0.013203	-0.60498	-0.055664	-0.439697
13.0	5.455235	2.015269	8.427978	-0.005945	0.012344	-0.011043	-0.609619	-0.05127	-0.4375
14.0	5.458261	2.064339	8.462799	-0.007811	0.010162	-0.013958	-0.605225	-0.05127	-0.441895
15.0	5.530681	1.998883	8.495944	-0.007523	0.005822	-0.010952	-0.611816	-0.049072	-0.439697
16.0	5.493516	2.024272	8.464562	-0.005044	0.006509	-0.011731	-0.602783	-0.057861	-0.439697
17.0	5.4462	1.996556	8.458518	-0.005189	0.00868	-0.013232	-0.607178	-0.055664	-0.435059
18.0	5.517468	2.019125	8.487924	-0.007688	0.009467	-0.010369	-0.607422	-0.053467	-0.441895
19.0	5.511153	2.058108	8.450736	-0.008385	0.008714	-0.014425	-0.614014	-0.053467	-0.441895
20.0	5.463797	2.03023	8.444744	-0.006356	0.007253	-0.01209	-0.607422	-0.053467	-0.435059
21.0	5.499295	2.004897	8.477206	-0.008283	0.009491	-0.008756	-0.607422	-0.05127	-0.441895
22.0	5.477206	2.044377	8.458573	-0.007668	0.007996	-0.01245	-0.609863	-0.049072	-0.439697
23.0	5.456287	1.996043	8.443634	-0.007668	0.007997	-0.012449	-0.609619	-0.05127	-0.4375
24.0	5.490687	2.058642	8.472329	-0.007545	0.007299	-0.008864	-0.607422	-0.05127	-0.439697
25.0	5.454058	2.010778	8.475894	-0.008241	0.006546	-0.01292	-0.607422	-0.053467	-0.4375
26.0	5.499567	2.038796	8.483075	-0.006379	0.008729	-0.010002	-0.607178	-0.055664	-0.439697
27.0	5.493954	2.004855	8.480678	-0.005763	0.007235	-0.013697	-0.614014	-0.049072	-0.4375
28.0	5.482448	2.024843	8.471598	-0.005785	0.008709	-0.011613	-0.609619	-0.053467	-0.444336
29.0	5.48693	2.044105	8.443903	-0.008096	0.004376	-0.011417	-0.614014	-0.05127	-0.4375
30.0	5.491737	1.990326	8.451258	-0.006817	0.015246	-0.0145	-0.611816	-0.053467	-0.439697
31.0	5.505706	2.004878	8.464638	-0.005192	0.008689	-0.013221	-0.609619	-0.053467	-0.4375
32.0	5.467737	2.045085	8.464526	-0.008265	0.008022	-0.010832	-0.607178	-0.055664	-0.446533
33.0	5.509046	2.024246	8.437673	-0.006504	0.009432	-0.013581	-0.605469	-0.046875	-0.442139
34.0	5.486988	2.005772	8.48497	-0.005046	0.006519	-0.01172	-0.603027	-0.05127	-0.442139
35.0	5.491394	2.025116	8.457319	-0.006382	0.008732	-0.009997	-0.607422	-0.053467	-0.441895
36.0	5.46936	2.006662	8.504583	-0.002568	0.007209	-0.012496	-0.609619	-0.053467	-0.439697
37.0	5.484376	2.006346	8.486523	-0.006954	0.007282	-0.010469	-0.607422	-0.05127	-0.439697
38.0	5.489211	2.010683	8.427877	-0.009153	0.012389	-0.012216	-0.611816	-0.05127	-0.4375
39.0	5.498067	2.005713	8.469404	-0.007671	0.008004	-0.012439	-0.609863	-0.046875	-0.4375
40.0	5.496418	2.020562	8.501228	-0.009702	0.009467	-0.014771	-0.607422	-0.053467	-0.4375
41.0	5.511263	2.020033	8.483346	-0.006383	0.008735	-0.009993	-0.609863	-0.044678	-0.4375
42.0	5.469235	2.011153	8.449106	-0.007696	0.009477	-0.010353	-0.605225	-0.053467	-0.4375
43.0	5.504598	1.985854	8.481691	-0.008414	0.010199	-0.012324	-0.611816	-0.05127	-0.4375
44.0	5.483017	2.010644	8.431917	-0.007077	0.007987	-0.014046	-0.609619	-0.05127	-0.444336
45.0	5.507294	2.020099	8.485907	-0.008243	0.006556	-0.012908	-0.611816	-0.053467	-0.441895
46.0	5.506307	2.020144	8.486537	-0.006532	0.010911	-0.011487	-0.607178	-0.057861	-0.441895
47.0	5.474702	1.991746	8.461969	-0.00663	0.010144	-0.01715	-0.607422	-0.053467	-0.439697
48.0	5.494114	2.025522	8.447098	-0.006386	0.008738	-0.009988	-0.605225	-0.053467	-0.435059
49.0	5.493072	2.025579	8.447761	-0.007821	0.010183	-0.013929	-0.605469	-0.046875	-0.442139
50.0	5.501858	2.020726	8.489284	-0.007821	0.010184	-0.013928	-0.607422	-0.05127	-0.441895
51.0	5.474843	2.026289	8.467762	-0.007252	0.011636	-0.013453	-0.607666	-0.046875	-0.4375
52.0	5.489526	2.0259	8.44999	-0.006535	0.010914	-0.011482	-0.609619	-0.053467	-0.4375
53.0	5.493805	1.986791	8.488466	-0.009583	0.00877	-0.011181	-0.607666	-0.049072	-0.442139
54.0	5.503083	2.02537	8.432993	-0.006831	0.015265	-0.014471	-0.607422	-0.05127	-0.4375
55.0	5.495841	2.02101	8.493112	-0.007674	0.008012	-0.012428	-0.609619	-0.05127	-0.441895
56.0	5.480282	1.992151	8.449906	-0.004748	0.010863	-0.016306	-0.607178	-0.057861	-0.441895
57.0	5.509443	2.021085	8.475948	-0.006537	0.010917	-0.011477	-0.607666	-0.049072	-0.439697
58.0	5.493786	1.992067	8.432851	-0.007254	0.011641	-0.013446	-0.607422	-0.05127	-0.4375
59.0	5.497068	2.026353	8.436679	-0.006658	0.011624	-0.015055	-0.607178	-0.055664	-0.441895
60.0	5.49506	2.041339	8.46865	-0.007255	0.011642	-0.013444	-0.603027	-0.05127	-0.444336
61.0	5.489262	2.007372	8.466381	-0.007255	0.011643	-0.013444	-0.609375	-0.055664	-0.435059
62.0	5.48795	2.007507	8.4672	-0.006687	0.013096	-0.012967	-0.603271	-0.049072	-0.439697
63.0	5.502418	2.007097	8.449618	-0.008029	0.015306	-0.011243	-0.607422	-0.05127	-0.4375
