Acquisition frequency: 100 Hz
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
0.0	7.977384	-1.463148	5.605601	-0.002855	0.01826	0.004707	-0.750244	-0.049561	-0.294189
1.0	7.983826	-1.461709	5.616982	0.009634	0.028303	-0.00047	-0.754395	-0.056152	-0.289795
2.0	7.912749	-1.324084	5.76026	-0.008557	0.006901	0.014198	-0.754395	-0.055908	-0.294189
3.0	7.949527	-1.525624	5.592711	-0.051316	-0.016741	0.020021	-0.754395	-0.056152	-0.287598
4.0	8.039269	-1.520928	5.57289	-0.013138	-0.011831	0.011373	-0.756836	-0.051758	-0.291992
5.0	7.95275	-1.383793	5.661525	-0.018979	-0.022378	0.020918	-0.748047	-0.051758	-0.291992
6.0	8.00213	-1.471277	5.628803	-0.057785	-0.040502	0.027467	-0.752686	-0.047363	-0.294189
7.0	7.962869	-1.460785	5.592587	-0.054919	-0.049642	0.035779	-0.756592	-0.058105	-0.294189
8.0	7.982972	-1.522506	5.648859	-0.079139	-0.065175	0.038666	-0.754395	-0.053955	-0.289795
9.0	8.021909	-1.674363	5.46523	-0.080561	-0.058216	0.035682	-0.752441	-0.053955	-0.287598
10.0	8.047963	-1.748831	5.450206	-0.060445	-0.03762	0.016679	-0.756592	-0.053955	-0.287598
11.0	8.035135	-1.608304	5.502105	-0.026825	-0.022088	-0.000788	-0.750244	-0.049805	-0.283203
12.0	8.005967	-1.52818	5.581833	-0.035219	-0.016859	0.001505	-0.756592	-0.053955	-0.289795
13.0	8.020221	-1.615219	5.480903	-0.049681	-0.00696	-0.011489	-0.754639	-0.051758	-0.287598
14.0	8.005542	-1.521912	5.510879	-0.028834	-0.002505	-0.01062	-0.756836	-0.051758	-0.283203
15.0	8.006065	-1.57741	5.519545	-0.064009	-0.01112	-0.007942	-0.750244	-0.053955	-0.291992
16.0	8.044527	-1.630782	5.423187	-0.064608	0.008581	-0.017156	-0.754639	-0.049561	-0.289795
17.0	7.996407	-1.602045	5.463641	-0.031489	0.01798	-0.027289	-0.759033	-0.051758	-0.2854
18.0	7.908946	-1.511496	5.530697	-0.030206	-0.006607	-0.030255	-0.754639	-0.049561	-0.289795
19.0	7.957872	-1.536266	5.453475	-0.06131	-0.047825	-0.030546	-0.754639	-0.049561	-0.294189
20.0	7.961492	-1.537444	5.447856	-0.071801	-0.06767	-0.031015	-0.754639	-0.051758	-0.287598
21.0	7.983487	-1.487166	5.482687	-0.087365	-0.079436	-0.034114	-0.754639	-0.049805	-0.2854
22.0	7.93906	-1.607668	5.44057	-0.139249	-0.105062	-0.034084	-0.752441	-0.049561	-0.2854
23.0	7.976009	-1.693317	5.346808	-0.147413	-0.120636	-0.049806	-0.754639	-0.051758	-0.287598
24.0	8.021076	-1.655729	5.496364	-0.11506	-0.133734	-0.066934	-0.759277	-0.04541	-0.283203
25.0	8.033529	-1.671668	5.584878	-0.123212	-0.163368	-0.078013	-0.76123	-0.04541	-0.28125
26.0	8.069488	-1.743758	5.5929	-0.116023	-0.162754	-0.120316	-0.756836	-0.047607	-0.281006
27.0	8.13752	-1.795973	5.567536	-0.114042	-0.155977	-0.152099	-0.752441	-0.051758	-0.283203
28.0	7.92228	-0.913603	5.204476	0.068674	-0.156877	-0.233557	-0.756836	-0.052002	-0.281006
29.0	7.543333	0.829469	7.282281	-0.112324	-0.195763	-0.377054	-0.763184	-0.056152	-0.281006
30.0	8.635315	-1.578963	5.751094	-2.04496	-0.089452	-0.508204	-0.763184	-0.056152	-0.281006
