Acquisition frequency: 100 Hz
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
0.0	5.751179	-2.256547	7.757014	-0.005791	0.00821	-0.008586	-0.547852	0.131104	-0.075684
1.0	5.747924	-2.236818	7.729129	-0.004133	0.009542	-0.008959	-0.552246	0.128906	-0.077881
2.0	5.770761	-2.241238	7.724055	-0.002964	0.00822	-0.008676	-0.554443	0.131104	-0.077881
3.0	5.736216	-2.223681	7.781962	-0.005656	0.009275	-0.010541	-0.552246	0.131104	-0.075684
4.0	5.769964	-2.240734	7.724797	-0.002147	0.005306	-0.009694	-0.552246	0.12915	-0.082275
5.0	5.72299	-2.231112	7.736129	-0.002965	0.008222	-0.008674	-0.552246	0.131104	-0.080078
6.0	5.769283	-2.240107	7.725488	-0.003318	0.00663	-0.009975	-0.543457	0.131104	-0.075684
7.0	5.745664	-2.235035	7.731324	-0.00049	0.00664	-0.010065	-0.547852	0.131104	-0.077881
8.0	5.739005	-2.238698	7.708463	-0.005659	0.009278	-0.010537	-0.549805	0.126953	-0.082275
9.0	5.77164	-2.215405	7.721629	-0.002832	0.009288	-0.010627	-0.547852	0.128906	-0.077881
10.0	5.754066	-2.20646	7.750837	-0.004139	0.009549	-0.008951	-0.549805	0.126709	-0.077881
11.0	5.726654	-2.225254	7.761836	-0.002618	0.009818	-0.007367	-0.550049	0.128906	-0.080078
12.0	5.76651	-2.238272	7.728089	-0.001447	0.008496	-0.007084	-0.547852	0.128906	-0.077881
13.0	5.745615	-2.252818	7.762218	-0.000842	0.005053	-0.011362	-0.550049	0.128906	-0.077881
14.0	5.748655	-2.228856	7.757631	-0.004962	0.012467	-0.007927	-0.547852	0.12915	-0.082275
15.0	5.761541	-2.260871	7.734508	0.000208	0.009831	-0.007454	-0.550049	0.128906	-0.071289
16.0	5.780456	-2.205236	7.77151	-0.00262	0.009822	-0.007363	-0.547852	0.12915	-0.08667
17.0	5.717252	-2.227309	7.741466	-0.000143	0.00824	-0.008755	-0.550049	0.133301	-0.082275
18.0	5.760688	-2.216472	7.702731	-0.001314	0.009565	-0.009035	-0.550049	0.12915	-0.082275
19.0	5.762952	-2.235633	7.731507	-0.000144	0.008242	-0.008753	-0.547852	0.128906	-0.073486
20.0	5.745383	-2.22672	7.760667	-0.00428	0.00849	-0.006989	-0.550049	0.128906	-0.075684
21.0	5.761818	-2.235105	7.732504	-0.002003	0.013548	-0.009966	-0.547852	0.128906	-0.080078
22.0	5.744099	-2.226084	7.761801	-0.00028	0.007179	-0.006796	-0.547607	0.124756	-0.080078
23.0	5.760609	-2.234377	7.733615	-0.002139	0.012485	-0.00801	-0.550049	0.128906	-0.073486
24.0	5.753657	-2.238124	7.710969	-0.001104	0.010096	-0.005773	-0.547607	0.124512	-0.073486
25.0	5.759199	-2.233735	7.734851	-0.000833	0.012229	-0.009681	-0.543457	0.131104	-0.082275
26.0	5.764716	-2.229285	7.758766	-0.000969	0.011164	-0.007726	-0.550049	0.131104	-0.075684
27.0	5.724693	-2.255918	7.723389	0.000686	0.012499	-0.008095	-0.552002	0.122559	-0.080078
28.0	5.733681	-2.22788	7.742278	-0.001106	0.010099	-0.00577	-0.547852	0.128906	-0.077881
29.0	5.726474	-2.231691	7.719806	-0.003656	0.01939	-0.007913	-0.547852	0.12915	-0.084473
30.0	5.735269	-2.203529	7.73887	0.002817	0.009329	-0.010786	-0.549805	0.124756	-0.080078
31.0	5.754602	-2.231008	7.739058	0.003029	0.009856	-0.007528	-0.550049	0.12915	-0.082275
32.0	5.736765	-2.221916	7.768416	-0.002146	0.012493	-0.008001	-0.550049	0.12915	-0.084473
33.0	5.733215	-2.202105	7.740797	-0.003454	0.012751	-0.006328	-0.550049	0.133301	-0.08667
34.0	5.748801	-2.253776	7.74605	-0.002147	0.012495	-0.007999	-0.545654	0.126953	-0.077881
35.0	5.734425	-2.221275	7.770327	-0.00263	0.009836	-0.007349	-0.547852	0.131104	-0.080078
36.0	5.750937	-2.229698	7.742159	-0.003804	0.011161	-0.007629	-0.552246	0.12915	-0.082275
37.0	5.727009	-2.224913	7.748068	-0.002978	0.008244	-0.008651	-0.549805	0.126953	-0.080078
38.0	5.743806	-2.233334	7.719697	-0.006154	0.00664	-0.009866	-0.547852	0.131104	-0.077881
39.0	5.753172	-2.205357	7.73827	-0.000497	0.006665	-0.01004	-0.558594	0.128906	-0.073486
40.0	5.752725	-2.20509	7.738678	-0.005462	0.009827	-0.007257	-0.545654	0.128906	-0.075684
41.0	5.748707	-2.228701	7.744102	-0.004289	0.008503	-0.006976	-0.547852	0.128906	-0.080078
42.0	5.748253	-2.228595	7.74447	-0.003116	0.007179	-0.006695	-0.552246	0.128906	-0.075684
43.0	5.735341	-2.236488	7.698372	-0.003808	0.011166	-0.007622	-0.550049	0.131104	-0.080078
44.0	5.723766	-2.223794	7.750785	-0.00581	0.008237	-0.008558	-0.54541	0.124756	-0.075684
45.0	5.752764	-2.224038	7.769136	0.000328	0.010925	-0.009378	-0.552246	0.128906	-0.080078
46.0	5.769432	-2.232263	7.74094	-0.003117	0.007182	-0.006693	-0.543457	0.131104	-0.080078
47.0	5.745506	-2.227607	7.746792	-0.002426	0.010368	-0.004084	-0.545654	0.12915	-0.082275
48.0	5.724891	-2.199309	7.74775	-0.003811	0.01117	-0.007618	-0.547852	0.131104	-0.077881
49.0	5.75034	-2.223377	7.77112	-0.002772	0.008777	-0.005387	-0.54541	0.122559	-0.071289
