Acquisition frequency: 100 Hz
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
0.0	6.039377	1.104024	8.541564	-0.011301	0.011596	-0.012721	-0.530273	0.07373	-0.483398
1.0	6.043647	1.065332	8.559035	-0.011301	0.011597	-0.012723	-0.536621	0.07373	-0.485596
2.0	6.055659	1.054076	8.529953	-0.010205	0.012513	-0.012181	-0.530273	0.075928	-0.480957
3.0	6.042174	1.086016	8.573099	-0.009553	0.008807	-0.01171	-0.537109	0.084717	-0.483398
4.0	6.059822	1.036439	8.560478	-0.007851	0.010153	-0.012992	-0.536865	0.075928	-0.483398
5.0	6.03884	1.044252	8.549456	-0.007467	0.008275	-0.014854	-0.536865	0.075928	-0.483398
6.0	6.026388	1.100433	8.504331	-0.008947	0.009241	-0.013539	-0.532471	0.078125	-0.483398
7.0	6.065461	1.085304	8.528366	-0.009214	0.01107	-0.015873	-0.541504	0.080322	-0.483398
8.0	6.064658	1.085456	8.528917	-0.00742	0.004139	-0.012561	-0.536621	0.071533	-0.480957
9.0	6.050061	1.075556	8.546844	-0.009553	0.008811	-0.011718	-0.536865	0.075928	-0.480957
10.0	6.048521	1.054633	8.534947	-0.008561	0.007366	-0.015405	-0.539063	0.075928	-0.480957
11.0	6.048359	1.07573	8.548028	-0.008947	0.009245	-0.013546	-0.541016	0.07373	-0.485596
12.0	6.046888	1.054831	8.53608	-0.008293	0.005539	-0.013074	-0.543457	0.077881	-0.476563
13.0	6.046151	1.055003	8.536581	-0.007466	0.008283	-0.014864	-0.532471	0.07373	-0.485596
14.0	6.059817	1.086086	8.532278	-0.007852	0.010162	-0.013005	-0.534668	0.075928	-0.483398
15.0	6.03118	1.066322	8.567702	-0.008293	0.005541	-0.013078	-0.536865	0.075928	-0.480957
16.0	6.038831	1.114909	8.534218	-0.00834	0.009682	-0.015377	-0.534668	0.078125	-0.476563
17.0	6.036556	1.073008	8.509874	-0.013105	0.007904	-0.015698	-0.536621	0.071533	-0.487793
18.0	6.055732	1.065167	8.522196	-0.008579	0.009779	-0.006989	-0.539063	0.075928	-0.485596
19.0	6.055607	1.085913	8.535288	-0.009774	0.006507	-0.011767	-0.539063	0.075928	-0.480957
20.0	6.0609	1.068226	8.564997	-0.010429	0.010216	-0.012241	-0.532715	0.080322	-0.47876
21.0	6.039852	1.075725	8.554041	-0.010916	0.009737	-0.014614	-0.536621	0.07373	-0.480957
22.0	6.038888	1.075727	8.554721	-0.008947	0.009255	-0.01356	-0.536865	0.075928	-0.483398
23.0	6.051886	1.085609	8.537966	-0.009067	0.009301	-0.009365	-0.534668	0.075928	-0.480957
24.0	6.03618	1.05458	8.543686	-0.010477	0.014363	-0.014546	-0.538818	0.07373	-0.483398
25.0	6.062882	1.074586	8.509661	-0.006977	0.008776	-0.012509	-0.532471	0.07373	-0.485596
26.0	6.04784	1.064876	8.527834	-0.008388	0.013838	-0.017691	-0.534668	0.078125	-0.485596
27.0	6.046528	1.065069	8.528741	-0.009603	0.012969	-0.014042	-0.541016	0.07373	-0.483398
28.0	6.032653	1.09699	8.572044	-0.010696	0.012055	-0.01459	-0.534668	0.078125	-0.47876
29.0	6.044752	1.085987	8.54297	-0.010696	0.012057	-0.014592	-0.539063	0.075928	-0.483398
30.0	6.056698	1.075113	8.513997	-0.008777	0.015721	-0.015837	-0.534912	0.080322	-0.485596
31.0	6.047829	1.047466	8.561246	-0.009893	0.006558	-0.007588	-0.536621	0.07373	-0.483398
32.0	6.0553	1.095716	8.528	-0.012664	0.012543	-0.015655	-0.532471	0.078125	-0.492432
33.0	6.039396	1.064999	8.533801	-0.006685	0.015201	-0.018983	-0.536865	0.078125	-0.481201
34.0	6.072051	1.067614	8.52902	-0.011303	0.011626	-0.012776	-0.538818	0.071533	-0.485596
35.0	6.056943	1.057583	8.547247	-0.010087	0.012501	-0.01643	-0.537109	0.080322	-0.483398
36.0	6.069022	1.046733	8.518208	-0.009602	0.01298	-0.014058	-0.536865	0.075928	-0.480957
37.0	6.048314	1.075279	8.519934	-0.009602	0.012981	-0.01406	-0.534424	0.071533	-0.487793
38.0	6.047127	1.075385	8.520763	-0.00921	0.011107	-0.015925	-0.532227	0.071533	-0.483154
39.0	6.066312	1.088905	8.546014	-0.010529	0.01853	-0.016877	-0.530273	0.07373	-0.480957
40.0	6.043593	1.054758	8.510278	-0.006542	0.013417	-0.012458	-0.534668	0.075928	-0.480957
41.0	6.05501	1.040767	8.581922	-0.00926	0.01526	-0.018233	-0.534668	0.078125	-0.483398
42.0	6.048115	1.079566	8.566314	-0.008117	0.012028	-0.015385	-0.54126	0.075928	-0.485596
43.0	6.040057	1.076528	8.525632	-0.008168	0.016179	-0.017689	-0.536865	0.075928	-0.487793
44.0	6.038549	1.076922	8.52665	-0.007292	0.014782	-0.017179	-0.532471	0.078125	-0.47876
45.0	6.057243	1.069776	8.539271	-0.007507	0.012471	-0.017218	-0.539063	0.075928	-0.485596
46.0	6.035785	1.077664	8.528514	-0.007686	0.016659	-0.015321	-0.534668	0.075928	-0.487793
47.0	6.020426	1.067898	8.546833	-0.007024	0.012949	-0.014847	-0.534912	0.080322	-0.488037
48.0	6.05309	1.070644	8.542108	-0.011442	0.01344	-0.019349	-0.534668	0.07373	-0.483398
49.0	6.03831	1.081739	8.572955	-0.007901	0.01435	-0.015363	-0.534912	0.080322	-0.492432
50.0	6.050389	1.071145	8.543958	-0.007024	0.012953	-0.014852	-0.534668	0.078125	-0.485596
51.0	6.063095	1.081477	8.527459	-0.008115	0.012039	-0.015404	-0.534912	0.080322	-0.485596
52.0	5.999573	1.038232	8.555941	-0.006629	0.011082	-0.016719	-0.536865	0.07373	-0.487793
53.0	6.061381	1.103217	8.541504	-0.005752	0.009685	-0.016207	-0.532471	0.075928	-0.485596
54.0	6.046276	1.09362	8.5596	-0.006415	0.013399	-0.016686	-0.52832	0.078125	-0.485596
55.0	6.024638	1.080456	8.536039	-0.01003	0.008372	-0.014171	-0.534668	0.078125	-0.483398
