Acquisition frequency: 100 Hz
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
2.0	6.240202	1.911297	7.859717	0.003665	-0.004446	-0.006971	-0.657959	-0.091309	-0.313477
3.0	6.26941	1.913081	7.890316	-0.007673	-0.012838	-0.000637	-0.653564	-0.091064	-0.318115
4.0	6.27506	1.914543	7.866208	-0.022045	-0.006905	0.003303	-0.656006	-0.088867	-0.322754
5.0	6.290462	1.857807	7.913175	-0.034233	-0.008833	0.004425	-0.651367	-0.091064	-0.318115
6.0	6.282281	1.801638	7.905202	-0.032745	-0.011254	0.004331	-0.656006	-0.089111	-0.320313
7.0	6.287293	1.886104	7.915854	-0.031257	-0.013675	0.004235	-0.653564	-0.091064	-0.320313
8.0	6.264996	1.847171	7.881685	-0.044285	-0.014969	0.004206	-0.658203	-0.089111	-0.318115
9.0	6.275227	1.896598	7.889671	-0.043492	-0.011955	0.006838	-0.656006	-0.086914	-0.318115
10.0	6.271678	1.852522	7.934567	-0.060121	-0.01032	0.006788	-0.656006	-0.086914	-0.322754
11.0	6.268228	1.844682	7.958428	-0.059177	-0.021976	0.003518	-0.653809	-0.086914	-0.315918
12.0	6.298691	1.904356	7.870895	-0.052423	-0.028631	0.005752	-0.656006	-0.084717	-0.320557
13.0	6.323715	1.971745	7.88398	-0.065587	-0.013113	0.006121	-0.647461	-0.084473	-0.320557
14.0	6.369659	1.806019	7.774579	-0.095946	-0.013217	0.012847	-0.656006	-0.086914	-0.320557
15.0	6.341905	1.707143	7.959996	-0.089985	0.004558	0.012691	-0.656006	-0.089111	-0.318115
16.0	6.366593	1.677671	7.863071	-0.072349	-0.010211	0.002432	-0.6604	-0.084717	-0.322754
17.0	6.37523	1.809506	7.907483	-0.069065	0.002547	0.000455	-0.651611	-0.088867	-0.318115
18.0	6.389702	1.748962	7.955522	-0.078777	0.004473	0.001016	-0.658203	-0.084717	-0.315918
19.0	6.408709	1.718256	7.88272	-0.060044	0.008177	-0.002865	-0.651611	-0.088867	-0.320313
20.0	6.35939	1.774641	7.907146	-0.05857	0.0116	-0.007001	-0.660645	-0.08252	-0.318359
21.0	6.368225	1.739804	7.881919	-0.053678	0.010976	-0.01354	-0.656006	-0.086914	-0.313721
22.0	6.375854	1.789841	7.892257	-0.047221	0.020047	-0.013306	-0.656006	-0.086914	-0.320557
23.0	6.33543	1.816472	7.890329	-0.051445	0.021066	-0.01354	-0.653809	-0.089111	-0.313477
24.0	6.333858	1.776356	7.913042	-0.050797	0.019287	-0.014799	-0.6604	-0.086914	-0.318115
25.0	6.326971	1.80718	7.918425	-0.052074	0.019144	-0.013763	-0.656006	-0.086914	-0.322754
26.0	6.306122	1.7812	7.939185	-0.062883	0.022041	-0.009755	-0.656006	-0.084717	-0.315918
27.0	6.303958	1.813823	7.921222	-0.064346	0.020771	-0.011132	-0.6604	-0.089111	-0.318115
28.0	6.312446	1.741187	7.917066	-0.07192	0.018499	-0.011945	-0.658203	-0.084717	-0.320557
29.0	6.330168	1.721827	7.92134	-0.059082	0.016524	-0.008817	-0.654297	-0.078125	-0.325195
30.0	6.342698	1.736798	7.928926	-0.062263	0.020201	-0.010996	-0.656006	-0.084717	-0.320557
31.0	6.341555	1.68596	7.875041	-0.054887	0.021326	-0.012585	-0.656006	-0.089111	-0.320313
32.0	6.373685	1.612682	7.925368	-0.052782	0.020801	-0.012463	-0.651855	-0.08252	-0.315918
