Acquisition frequency: 100 Hz
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
0.0	9.653964	-1.679734	1.814094	-0.007425	0.024713	0.001052	-0.569336	0.301025	-0.603516
1.0	9.671489	-1.679497	1.832747	-0.004621	0.02172	0.002432	-0.571533	0.298828	-0.608154
2.0	9.689043	-1.679243	1.851233	-0.001996	0.020181	0.001665	-0.571777	0.303223	-0.603516
3.0	9.660885	-1.660159	1.846566	-0.006267	0.019559	0.005537	-0.571533	0.301025	-0.610352
4.0	9.642005	-1.667814	1.904827	0.000453	0.020096	-0.001246	-0.571533	0.301025	-0.598877
5.0	9.664778	-1.673692	1.881751	-0.006578	0.019395	-0.003663	-0.566895	0.298828	-0.610352
6.0	9.682382	-1.673103	1.900171	-0.000169	0.020882	0.000712	-0.564941	0.303223	-0.610596
7.0	9.632749	-1.688054	1.883961	-0.00206	0.019368	-0.001858	-0.569336	0.301025	-0.603516
8.0	9.645744	-1.673986	1.870949	-0.000858	0.020861	-0.000858	-0.56958	0.30542	-0.613037
9.0	9.650041	-1.687232	1.904138	-0.003151	0.015612	-0.004238	-0.567139	0.301025	-0.601074
10.0	9.645246	-1.673391	1.874045	-0.004352	0.014118	-0.005237	-0.567139	0.301025	-0.605713
11.0	9.654821	-1.693123	1.865361	-0.002974	0.014157	-0.002092	-0.567139	0.301025	-0.605713
12.0	9.621666	-1.666841	1.901659	-0.004462	0.016379	-0.003853	-0.571777	0.307617	-0.608398
13.0	9.66244	-1.672336	1.894917	-0.001194	0.01793	0.001866	-0.573975	0.30542	-0.601318
14.0	9.658573	-1.706453	1.901188	-0.001997	0.01046	0.000244	-0.569336	0.303223	-0.605957
15.0	9.666448	-1.685991	1.929065	-0.001882	0.017909	0.000294	-0.567383	0.30542	-0.608398
16.0	9.630254	-1.687076	1.897543	-0.001082	0.015667	0.000484	-0.562744	0.303223	-0.612793
17.0	9.63977	-1.707091	1.888945	-0.000971	0.013405	-0.000899	-0.56958	0.30542	-0.605957
18.0	9.647692	-1.686461	1.916683	-0.002172	0.011912	-0.0019	-0.572021	0.309814	-0.615479
19.0	9.637669	-1.666347	1.927912	0.001544	0.014129	-0.00028	-0.569336	0.303223	-0.603516
20.0	9.632852	-1.652868	1.897812	0.003545	0.01338	0.00091	-0.567139	0.303223	-0.608154
21.0	9.637171	-1.666185	1.930544	0.006796	0.011056	-0.001811	-0.569336	0.303223	-0.610596
22.0	9.641512	-1.679469	1.96315	0.005657	0.01037	0.000717	-0.564697	0.298828	-0.605713
23.0	9.615328	-1.700296	1.920928	0.00388	0.006597	-0.003241	-0.564941	0.301025	-0.610352
24.0	9.615223	-1.699977	1.921736	0.003769	0.008857	-0.001857	-0.569336	0.303223	-0.605957
25.0	9.615081	-1.699764	1.922632	0.005769	0.008109	-0.000666	-0.569336	0.301025	-0.610352
26.0	9.623084	-1.678988	1.949947	0.005881	0.005848	-0.00205	-0.569336	0.301025	-0.605713
27.0	9.655987	-1.704785	1.915767	0.007882	0.005099	-0.000859	-0.571777	0.307617	-0.617676
28.0	9.677361	-1.669917	1.928343	0.009936	0.01099	-0.003145	-0.571777	0.30542	-0.610596
29.0	9.686993	-1.689536	1.919591	0.006797	0.011053	-0.001808	-0.56958	0.307617	-0.608398
30.0	9.663607	-1.683179	1.945683	0.009311	0.011777	-0.001188	-0.56958	0.307617	-0.601318
31.0	9.637359	-1.703933	1.904038	0.014853	0.014698	-0.000519	-0.567383	0.307617	-0.613037
32.0	9.65952	-1.716332	1.953846	0.013993	0.016129	-0.004236	-0.569336	0.301025	-0.608154
