Acquisition frequency: 100 Hz
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
0.0	10.385034	-0.255345	-0.373585	0.055523	0.083587	0.005939	-0.617188	0.150635	-0.470215
1.0	10.547009	-0.232472	-0.591815	-0.005908	0.077527	0.008231	-0.617188	0.148438	-0.463135
2.0	10.574025	-0.318382	-0.789943	-0.059162	0.170948	0.018472	-0.621826	0.152832	-0.474854
3.0	10.241584	-0.435607	-0.839192	-0.061599	0.334614	0.048336	-0.616943	0.144043	-0.474609
4.0	9.733696	-0.486996	-0.498488	-0.046674	0.430394	0.068079	-0.619629	0.152832	-0.474854
5.0	9.417506	-0.572622	0.072919	-0.051142	0.403616	0.079324	-0.610596	0.152832	-0.479492
6.0	9.338292	-0.730514	0.461483	-0.027727	0.325681	0.081182	-0.608398	0.152832	-0.481934
7.0	9.406377	-0.848299	0.625823	0.027008	0.221178	0.076256	-0.612793	0.152832	-0.481934
8.0	9.464808	-0.874698	0.364388	0.087518	0.111748	0.067507	-0.613037	0.155029	-0.484375
9.0	9.642887	-0.827602	-0.030029	0.128225	0.052291	0.056866	-0.608398	0.152832	-0.481934
10.0	9.823002	-0.729878	-0.305521	0.134059	0.060511	0.055596	-0.608398	0.155029	-0.489014
11.0	9.926459	-0.695658	-0.388716	0.138717	0.101492	0.060943	-0.61084	0.157227	-0.489014
12.0	9.925473	-0.554115	-0.307004	0.155142	0.115019	0.059571	-0.61084	0.157227	-0.491211
13.0	9.827247	-0.387829	-0.176188	0.15506	0.097519	0.055195	-0.605957	0.150635	-0.479492
14.0	9.826227	-0.245274	-0.098033	0.12974	0.067392	0.056646	-0.60376	0.152832	-0.486572
15.0	9.751977	-0.178499	-0.092804	0.107771	0.052249	0.053451	-0.610596	0.152832	-0.491211
16.0	9.745171	-0.14724	0.049788	0.113413	0.048311	0.047668	-0.604004	0.155029	-0.484375
17.0	9.712381	-0.068612	0.117187	0.11735	0.035512	0.040276	-0.606201	0.155029	-0.489014
18.0	9.712348	-0.046614	0.143156	0.099216	0.010235	0.026969	-0.61084	0.157227	-0.49585
19.0	9.727802	-0.067399	0.061562	0.084402	-0.022567	0.020532	-0.610596	0.152832	-0.48877
20.0	9.711426	-0.077282	0.042546	0.072692	-0.044684	0.002186	-0.608398	0.152832	-0.491211
21.0	9.767321	-0.087402	-0.05247	0.05004	-0.060183	-0.007755	-0.608398	0.155029	-0.484375
22.0	9.749932	-0.072424	-0.124547	0.022698	-0.077964	-0.013534	-0.610596	0.155029	-0.489014
23.0	9.783517	-0.126383	-0.098882	0.009503	-0.091319	-0.018525	-0.608154	0.14624	-0.483887
24.0	9.824665	-0.214669	-0.138575	0.004294	-0.101934	-0.018296	-0.610596	0.152832	-0.48877
25.0	9.848445	-0.238564	-0.197086	-0.001879	-0.103736	-0.019107	-0.610596	0.155029	-0.489014
