Acquisition frequency: 100 Hz
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
1.0	6.505868	0.26724	7.467527	-0.007776	0.013401	-0.0057	-0.640625	-0.185791	-0.371338
2.0	6.512387	0.230565	7.487744	0.003481	0.019593	-0.006136	-0.634277	-0.185791	-0.366943
3.0	6.514591	0.312137	7.487687	0.002698	0.016653	-0.007895	-0.640869	-0.181641	-0.364746
4.0	6.502095	0.268344	7.470773	-0.009595	0.013724	-0.005946	-0.636475	-0.183594	-0.369141
5.0	6.478959	0.276738	7.465393	0.001798	0.013357	-0.00749	-0.636475	-0.185791	-0.369141
6.0	6.502824	0.305841	7.512184	-0.010614	0.010072	-0.003381	-0.63208	-0.181396	-0.364746
7.0	6.486188	0.282795	7.444848	-0.012077	0.004696	-0.00343	-0.636475	-0.185791	-0.369141
8.0	6.491561	0.304189	7.454088	-0.008772	0.002833	-0.002084	-0.634277	-0.183594	-0.366943
9.0	6.507846	0.272757	7.451579	-0.024487	0.00141	0.000678	-0.63623	-0.187988	-0.366943
10.0	6.479831	0.257771	7.436597	-0.010031	0.005235	-0.001876	-0.638428	-0.185791	-0.366943
11.0	6.490871	0.300881	7.454823	-0.014694	0.002229	0.000197	-0.643066	-0.181641	-0.364746
12.0	6.507441	0.269121	7.452065	-0.024464	-0.005507	0.001727	-0.640625	-0.185791	-0.371338
13.0	6.496137	0.223604	7.434136	-0.013909	0.005169	0.00196	-0.645264	-0.183838	-0.362549
14.0	6.517474	0.266901	7.511367	-0.011968	0.005202	4.3e-05	-0.638672	-0.181641	-0.362549
15.0	6.501079	0.24354	7.443816	-0.016172	0.00377	-0.000901	-0.638428	-0.187988	-0.366943
16.0	6.497654	0.257876	7.475004	-0.009584	0.006957	0.000743	-0.631836	-0.187988	-0.366943
17.0	6.495174	0.316081	7.46527	-0.010588	0.003158	-0.002327	-0.636475	-0.183594	-0.369141
18.0	6.522196	0.232613	7.451033	-0.020374	0.002338	-0.001845	-0.636475	-0.181641	-0.362549
19.0	6.514064	0.268761	7.432308	-0.00366	0.007563	-0.001535	-0.63208	-0.185791	-0.366943
20.0	6.491159	0.276769	7.42675	-0.009584	0.013728	-0.005932	-0.634277	-0.185791	-0.366943
21.0	6.525739	0.25334	7.461926	-0.006502	0.011004	-0.005895	-0.638428	-0.185791	-0.366943
22.0	6.505821	0.246384	7.425584	-0.002519	0.011575	-0.006258	-0.63623	-0.185791	-0.360352
23.0	6.498898	0.277105	7.487936	-0.002859	0.010357	-0.005404	-0.640869	-0.179443	-0.364746
24.0	6.506865	0.283553	7.466775	-0.010942	0.008855	-0.002517	-0.640869	-0.183594	-0.364746
25.0	6.506205	0.283094	7.467368	-0.00718	0.008567	-0.004188	-0.634033	-0.189941	-0.373291
26.0	6.508649	0.267333	7.437102	-0.011282	0.007637	-0.001664	-0.634277	-0.181396	-0.366943
27.0	6.518369	0.266933	7.496569	-0.01094	0.008855	-0.002517	-0.634277	-0.181396	-0.366943
28.0	6.476584	0.267649	7.453764	-0.007299	0.008209	-0.002025	-0.63208	-0.185791	-0.366943
29.0	6.506856	0.26561	7.438733	-0.011721	0.005917	-0.004281	-0.642822	-0.185791	-0.366943
30.0	6.497637	0.258226	7.461	-0.011279	0.007637	-0.001663	-0.636719	-0.179199	-0.369141
31.0	6.519271	0.249266	7.467715	-0.012061	0.004698	-0.003427	-0.636475	-0.183594	-0.366943
32.0	6.474757	0.265057	7.455444	-0.012401	0.00348	-0.002574	-0.638672	-0.183594	-0.364746
33.0	6.519539	0.291445	7.427533	-0.011618	0.006418	-0.000809	-0.636475	-0.185791	-0.369141
34.0	6.501818	0.276862	7.471422	-0.018662	0.001652	0.000556	-0.634033	-0.187988	-0.364746
35.0	6.485597	0.253522	7.403752	-0.009917	0.005735	0.0016	-0.638672	-0.183594	-0.362549
36.0	6.504077	0.259749	7.44137	-0.010935	0.008856	-0.002512	-0.63208	-0.181396	-0.369141
37.0	6.486118	0.245629	7.485428	-0.010016	0.005235	-0.001871	-0.636475	-0.185791	-0.369141
38.0	6.508619	0.280404	7.45142	-0.010713	0.009715	-0.001203	-0.636475	-0.185791	-0.369141
39.0	6.499204	0.272972	7.473839	-0.010932	0.008856	-0.002512	-0.638672	-0.183594	-0.364746
40.0	6.523838	0.248606	7.449799	-0.015594	0.005845	-0.000447	-0.629883	-0.185791	-0.364746
41.0	6.498109	0.271241	7.474853	-0.009112	0.008533	-0.002265	-0.634277	-0.183594	-0.369141
42.0	6.506384	0.27708	7.453496	-0.016275	0.003406	0.001257	-0.634277	-0.181396	-0.364746
43.0	6.50039	0.254068	7.444786	-0.011612	0.006418	-0.000806	-0.638672	-0.179443	-0.366943
44.0	6.491182	0.24663	7.467008	-0.009671	0.006455	-0.002721	-0.640869	-0.181396	-0.366943
45.0	6.499401	0.252873	7.44569	-0.007631	0.006991	-0.001165	-0.636475	-0.181641	-0.362549
46.0	6.490122	0.245631	7.467963	-0.009329	0.007675	-0.003573	-0.638672	-0.183594	-0.369141
47.0	6.498299	0.251967	7.446683	-0.009548	0.006816	-0.004882	-0.636475	-0.183594	-0.366943
48.0	6.48997	0.288623	7.42822	-0.007167	0.008571	-0.004178	-0.634277	-0.183594	-0.373535
49.0	6.499767	0.288266	7.487556	-0.01239	0.003481	-0.002574	-0.634277	-0.181396	-0.364746
50.0	6.524776	0.263867	7.463202	-0.01671	0.001687	-0.001363	-0.638428	-0.185791	-0.366943
51.0	6.541015	0.232468	7.460652	-0.015928	0.004624	0.000406	-0.638672	-0.183838	-0.358154
52.0	6.532888	0.268432	7.442056	-0.00991	0.005733	0.001603	-0.636475	-0.183594	-0.364746
53.0	6.491347	0.26904	7.399049	-0.011485	0.006779	-0.002965	-0.636475	-0.183594	-0.366943
54.0	6.526257	0.245171	7.433895	-0.009324	0.007676	-0.003569	-0.634277	-0.185791	-0.369141
55.0	6.497781	0.231137	7.419185	-0.006041	0.012728	-0.003255	-0.638672	-0.181641	-0.364746
56.0	6.508017	0.27503	7.438256	-0.00194	0.013664	-0.005775	-0.640869	-0.183594	-0.366943
57.0	6.511596	0.253285	7.488971	-0.00388	0.013625	-0.003859	-0.636475	-0.183594	-0.366943
58.0	6.506178	0.275146	7.43986	-0.00544	0.007753	-0.007399	-0.631836	-0.187988	-0.364746
59.0	6.505547	0.27486	7.440423	-0.01092	0.008856	-0.002506	-0.63623	-0.185791	-0.358154
60.0	6.490398	0.245599	7.453783	-0.006161	0.012366	-0.001093	-0.638672	-0.183594	-0.369141
61.0	6.517218	0.258906	7.469976	-0.008417	0.010973	-0.00396	-0.634033	-0.187988	-0.366943
62.0	6.491846	0.229704	7.424423	-0.008416	0.010973	-0.00396	-0.636475	-0.183594	-0.362549
63.0	6.503392	0.267101	7.524269	0.0068	0.017749	-0.004714	-0.636475	-0.183594	-0.364746
64.0	6.510013	0.280422	7.422469	-0.018738	0.00115	-0.002928	-0.636475	-0.183594	-0.362549
65.0	6.480965	0.222094	7.448052	-0.009318	0.007675	-0.00357	-0.640625	-0.185791	-0.364746
66.0	6.5356	0.249149	7.479576	-0.006254	0.01187	-0.004562	-0.631836	-0.187988	-0.366943
67.0	6.493829	0.250239	7.436747	-0.00728	0.00821	-0.002012	-0.638428	-0.187988	-0.366943
68.0	6.511953	0.256594	7.474646	-0.009792	0.013011	-0.001584	-0.634277	-0.185791	-0.364746
69.0	6.492226	0.249277	7.438179	-0.007155	0.008573	-0.004172	-0.638672	-0.185791	-0.371338
70.0	6.491471	0.248987	7.438847	-0.006375	0.011508	-0.0024	-0.636475	-0.183594	-0.371338
71.0	6.518318	0.262253	7.45504	-0.008534	0.01061	-0.001797	-0.638672	-0.179443	-0.364746
72.0	6.50881	0.254983	7.477438	-0.00897	0.008895	-0.004419	-0.636475	-0.183594	-0.369141
73.0	6.517002	0.261341	7.456223	-0.009655	0.006455	-0.00272	-0.634277	-0.183594	-0.362549
74.0	6.522216	0.282361	7.46572	-0.016259	0.003397	0.001247	-0.638428	-0.185791	-0.364746
75.0	6.483053	0.22357	7.432289	-0.017607	0.005304	-0.002009	-0.640869	-0.183594	-0.364746
76.0	6.510288	0.236118	7.448177	-0.013536	0.006373	0.001108	-0.638672	-0.183594	-0.364746
77.0	6.50971	0.235472	7.448702	-0.005116	0.009108	-0.002611	-0.638428	-0.185791	-0.366943
78.0	6.508988	0.235082	7.449345	-0.010565	0.010076	-0.003352	-0.634277	-0.183594	-0.369141
79.0	6.535872	0.248347	7.465525	-0.006588	0.010652	-0.003706	-0.638672	-0.183594	-0.364746
80.0	6.490781	0.264855	7.453669	-0.001925	0.013669	-0.005758	-0.640625	-0.185791	-0.369141
81.0	6.495488	0.286653	7.46359	-0.010781	0.009219	-0.004663	-0.636719	-0.179443	-0.366943
82.0	6.495586	0.233923	7.393338	-0.008436	0.011103	0.001679	-0.636475	-0.181396	-0.366943
83.0	6.510294	0.255479	7.462283	-0.001831	0.014162	-0.002284	-0.638672	-0.183594	-0.371338
84.0	6.495065	0.226383	7.475603	-0.010904	0.008855	-0.002503	-0.634277	-0.185791	-0.366943
85.0	6.508629	0.254775	7.46376	-0.004207	0.012407	-0.002994	-0.638672	-0.183594	-0.364746
86.0	6.498866	0.247772	7.486325	-0.003989	0.013264	-0.001682	-0.63208	-0.183594	-0.362549
87.0	6.479029	0.240675	7.449959	-0.007837	0.013052	-0.003489	-0.636475	-0.183594	-0.366943
88.0	6.514536	0.261071	7.444589	-0.004295	0.011915	-0.006465	-0.640625	-0.185791	-0.360352
89.0	6.517982	0.239401	7.495251	0.002275	0.015103	-0.004793	-0.640869	-0.183594	-0.366943
90.0	6.495952	0.291585	7.449206	-0.009868	0.012518	-0.005049	-0.638672	-0.183594	-0.366943
91.0	6.469407	0.218907	7.444309	-0.00326	0.015579	-0.009008	-0.63623	-0.185791	-0.358154
92.0	6.501404	0.25489	7.470051	0.002494	0.01596	-0.003479	-0.643066	-0.179443	-0.364746
93.0	6.485828	0.22637	7.483619	-0.003169	0.01607	-0.005536	-0.63623	-0.185791	-0.362549
94.0	6.485831	0.270419	7.443979	-0.003946	0.013136	-0.007312	-0.636475	-0.185791	-0.366943
