Acquisition frequency: 100 Hz
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
1.0	9.86616	-0.130161	-0.868429	-0.058951	-0.04915	0.01716	-0.63501	0.088623	-0.419189
2.0	9.832366	-0.117257	-0.822686	-0.068538	0.017859	0.020027	-0.630859	0.097412	-0.424072
3.0	9.820947	-0.112554	-0.779267	-0.072378	0.050441	0.025247	-0.630859	0.097412	-0.421631
4.0	9.785511	-0.1298	-0.619776	-0.075399	0.036387	0.028218	-0.628418	0.095215	-0.42627
5.0	9.752234	-0.17386	-0.592402	-0.064823	-0.01828	0.023494	-0.630615	0.088623	-0.428467
6.0	9.795811	-0.19126	-0.61229	-0.063198	-0.090346	0.020847	-0.630615	0.09082	-0.421387
7.0	9.796345	-0.197542	-0.696701	-0.056015	-0.138663	0.019004	-0.632813	0.09082	-0.419189
8.0	9.873872	-0.159942	-0.84305	-0.050885	-0.158117	0.01397	-0.628418	0.095215	-0.419434
9.0	9.928253	-0.165746	-0.929837	-0.051758	-0.133881	0.017271	-0.630859	0.095215	-0.421631
10.0	9.949665	-0.140462	-0.982782	-0.054974	-0.082151	0.016847	-0.630859	0.095215	-0.416992
11.0	9.905284	-0.126114	-0.973274	-0.055925	-0.022101	0.019646	-0.639893	0.095215	-0.419434
12.0	9.882538	-0.171247	-0.914098	-0.061745	0.017557	0.02127	-0.630615	0.093018	-0.416992
13.0	9.793725	-0.227349	-0.795307	-0.059587	0.034657	0.019663	-0.628418	0.09082	-0.421387
14.0	9.760678	-0.270767	-0.766251	-0.044918	0.018806	0.016888	-0.625977	0.09082	-0.421387
15.0	9.748771	-0.22714	-0.687606	-0.039967	-0.017217	0.01512	-0.635254	0.097412	-0.424072
16.0	9.726692	-0.276088	-0.705192	-0.027218	-0.060598	0.006214	-0.633057	0.093018	-0.421631
17.0	9.759994	-0.255683	-0.79479	-0.015545	-0.087528	-0.000884	-0.635498	0.099609	-0.417236
18.0	9.825829	-0.283188	-0.898895	-0.012719	-0.089459	-0.001929	-0.633057	0.097412	-0.410156
19.0	9.868844	-0.242594	-0.900388	-0.007447	-0.067089	-0.001629	-0.635254	0.093018	-0.414551
20.0	9.923409	-0.208399	-0.939583	-0.004746	-0.036193	0.00412	-0.633057	0.095215	-0.414795
21.0	9.901	-0.162559	-0.896016	0.003254	-0.011729	0.010112	-0.637451	0.093018	-0.414551
22.0	9.911555	-0.165582	-0.863323	0.016938	0.008881	0.013987	-0.630615	0.093018	-0.414551
23.0	9.911547	-0.111618	-0.841415	0.020481	0.006139	0.022703	-0.633057	0.093018	-0.421631
24.0	9.791021	-0.107652	-0.802442	0.028314	-0.01121	0.023294	-0.633301	0.099609	-0.417236
25.0	9.780416	-0.091284	-0.855185	0.021109	-0.042298	0.024676	-0.637695	0.097412	-0.414795
26.0	9.791339	-0.138757	-0.939862	0.022401	-0.079769	0.024347	-0.630859	0.099609	-0.419434
27.0	9.878526	-0.120851	-1.031069	0.015204	-0.107876	0.018505	-0.637451	0.095215	-0.414795
28.0	9.922021	-0.108424	-1.164338	0.007543	-0.103345	0.01601	-0.637451	0.095215	-0.414795
29.0	9.954212	-0.106803	-1.237814	0.00665	-0.063295	0.01397	-0.637451	0.093018	-0.412354
30.0	9.92135	-0.098733	-1.265336	-0.007966	0.017203	0.016317	-0.628662	0.097412	-0.416992
31.0	9.855812	-0.145488	-1.166935	-0.022379	0.112501	0.01967	-0.633057	0.097412	-0.414795
32.0	9.747062	-0.193805	-1.028209	-0.024491	0.182413	0.019922	-0.630859	0.099609	-0.414795
33.0	9.659141	-0.262863	-0.803205	-0.031462	0.188512	0.021427	-0.635254	0.097412	-0.416992
34.0	9.63648	-0.320971	-0.638054	-0.022278	0.129657	0.014944	-0.633057	0.097412	-0.416992
35.0	9.635721	-0.390697	-0.56115	-0.014481	0.02947	0.006715	-0.630615	0.093018	-0.419189
36.0	9.646676	-0.470244	-0.606436	-0.014137	-0.053168	0.001313	-0.630859	0.099609	-0.417236
37.0	9.667538	-0.774378	-0.710074	-0.045783	-0.103767	-0.009984	-0.633301	0.104004	-0.421875
38.0	9.850129	-0.973017	-0.615059	-0.054098	-0.227502	-0.058725	-0.630859	0.095215	-0.412354
39.0	9.869424	-1.111848	-0.509636	0.000304	-0.284418	-0.075346	-0.637695	0.097412	-0.414795
40.0	9.761146	-0.707383	-0.631193	0.126898	-0.391199	-0.098999	-0.639893	0.099609	-0.410156
41.0	9.728718	0.311618	-1.010001	0.110331	-0.464578	-0.068075	-0.639648	0.093018	-0.409912
42.0	9.929219	0.63798	-1.796012	-0.077251	-0.357614	-0.005471	-0.637451	0.093018	-0.407715
43.0	10.370261	0.351561	-2.271502	-0.181124	0.004208	0.045303	-0.635254	0.097412	-0.407715
44.0	10.408984	0.18467	-2.064854	-0.158195	0.489112	0.070117	-0.635254	0.093018	-0.405273
45.0	10.038337	0.105458	-1.381783	-0.178361	0.823827	0.100918	-0.635254	0.095215	-0.410156
46.0	9.560559	-0.271361	-0.669737	-0.209102	0.894572	0.11888	-0.624268	0.104248	-0.424316
47.0	9.225206	-0.541049	-0.03353	-0.134432	0.682487	0.104129	-0.630859	0.095215	-0.428711
48.0	9.271457	-0.625138	0.317059	-0.066504	0.284085	0.072361	-0.626465	0.099609	-0.419434
49.0	9.38188	-0.63423	0.252131	-0.011767	-0.160069	0.023706	-0.630859	0.099609	-0.424072
50.0	9.579927	-0.467683	-0.264607	0.018973	-0.513488	-0.013527	-0.624023	0.095215	-0.414795
51.0	9.861542	-0.277878	-0.887534	0.009484	-0.644761	-0.03173	-0.635742	0.104004	-0.415039
52.0	10.179393	-0.13735	-1.493885	0.000242	-0.501088	-0.033153	-0.631104	0.101807	-0.412598
53.0	10.285831	0.017156	-1.756192	-0.035402	-0.19225	-0.015953	-0.635254	0.097412	-0.412354
54.0	10.186847	0.038398	-1.669873	-0.089253	0.15791	0.006556	-0.635498	0.101807	-0.4104
55.0	9.991245	-0.078586	-1.31096	-0.121362	0.410578	0.022127	-0.635742	0.108398	-0.412842
56.0	9.727598	-0.166831	-0.768654	-0.1204	0.485204	0.029866	-0.626465	0.101807	-0.424316
57.0	9.592441	-0.233482	-0.342943	-0.104205	0.385184	0.023896	-0.633301	0.104004	-0.421875
58.0	9.459748	-0.202438	-0.181524	-0.070681	0.184275	0.017784	-0.631104	0.104004	-0.421875
59.0	9.439871	-0.070288	-0.21421	-0.039616	-0.048025	0.006923	-0.628906	0.104004	-0.421875
60.0	9.543261	-0.005998	-0.472434	-0.037581	-0.225466	0.003075	-0.626465	0.101807	-0.419678
61.0	9.756347	0.033874	-0.869379	-0.041832	-0.278901	0.003016	-0.631104	0.101807	-0.419678
62.0	9.92154	0.04038	-1.127422	-0.064964	-0.21251	0.007757	-0.633301	0.101807	-0.415039
63.0	10.052778	-0.030904	-1.315786	-0.099153	-0.069066	0.025713	-0.628662	0.101807	-0.415039
64.0	10.029214	-0.205638	-1.283129	-0.119286	0.095238	0.030871	-0.631104	0.106201	-0.419678
65.0	9.950482	-0.374463	-1.091582	-0.131264	0.207119	0.038691	-0.633301	0.099609	-0.419434
66.0	9.82673	-0.469957	-0.783904	-0.127169	0.225919	0.036189	-0.633301	0.104004	-0.412598
67.0	9.74674	-0.583874	-0.567491	-0.102483	0.155269	0.02433	-0.631104	0.104004	-0.415039
68.0	9.670258	-0.53881	-0.51308	-0.062529	0.034988	0.008562	-0.626709	0.104004	-0.424316
69.0	9.671642	-0.486003	-0.566563	-0.034245	-0.085369	-0.004562	-0.633545	0.110596	-0.419922
70.0	9.741094	-0.350206	-0.752928	-0.008385	-0.1537	-0.010538	-0.626709	0.108398	-0.41748
71.0	9.852705	-0.264785	-0.923304	0.000733	-0.142701	-0.013435	-0.635742	0.108398	-0.424561
72.0	9.942286	-0.078287	-1.020307	-0.004301	-0.064505	-0.010175	-0.631348	0.110596	-0.410645
73.0	9.986054	0.055446	-0.951621	-0.030873	0.055591	0.002727	-0.62915	0.108398	-0.419922
