Acquisition frequency: 100 Hz
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
0.0	6.16213	1.136851	7.679823	-0.006691	0.009906	-0.006947	-0.36792	-0.017334	-0.022705
1.0	6.158952	1.155819	7.709132	-0.008423	0.009042	-0.006418	-0.365723	-0.019531	-0.0271
2.0	6.156309	1.1707	7.678784	-0.00669	0.009906	-0.006949	-0.365723	-0.019531	-0.024902
3.0	6.143393	1.152483	7.690672	-0.006384	0.01255	-0.006848	-0.363525	-0.019531	-0.024902
4.0	6.158496	1.136372	7.682808	-0.00704	0.013566	-0.007796	-0.365479	-0.021484	-0.03125
5.0	6.129303	1.134363	7.703474	-0.000944	0.011231	-0.005065	-0.367676	-0.023682	-0.024902
6.0	6.16806	1.158664	7.732816	-0.006143	0.008639	-0.003477	-0.365479	-0.021484	-0.0271
7.0	6.125918	1.149473	7.673694	0.000485	0.009451	-0.005697	-0.367676	-0.021484	-0.029053
8.0	6.140949	1.137709	7.725051	-0.001009	0.004676	-0.001794	-0.363281	-0.021729	-0.024902
9.0	6.152627	1.156039	7.714149	0.001191	0.002132	-0.004004	-0.359131	-0.019531	-0.024902
10.0	6.152424	1.156136	7.714296	-0.003704	0.002183	-0.002315	-0.359131	-0.019531	-0.0271
11.0	6.152233	1.155832	7.714494	-0.00459	0.002695	0.001791	-0.365479	-0.021729	-0.022705
12.0	6.156352	1.121176	7.717017	-0.008788	-0.000157	-0.003255	-0.361328	-0.019531	-0.024902
13.0	6.193966	1.160085	7.714882	-0.008483	0.002487	-0.003154	-0.365723	-0.017334	-0.022705
14.0	6.154026	1.134929	7.686602	-0.018509	0.006501	-0.003151	-0.369873	-0.019531	-0.022705
15.0	6.137227	1.149899	7.69598	-0.016659	0.007618	-0.006208	-0.365479	-0.021484	-0.029053
16.0	6.132101	1.187179	7.753671	-0.018532	-0.001942	-0.007567	-0.363525	-0.015137	-0.024902
17.0	6.136966	1.151811	7.755694	-0.021899	-0.016279	-0.005027	-0.36792	-0.017334	-0.022705
18.0	6.164895	1.167379	7.703837	-0.030278	-0.026399	-0.006704	-0.361084	-0.021484	-0.024902
19.0	6.152547	1.166213	7.7423	-0.032117	-0.027516	-0.003656	-0.365479	-0.021729	-0.022705
20.0	6.143437	1.141486	7.692277	-0.04161	-0.033212	-0.004605	-0.363281	-0.021484	-0.0271
21.0	6.189914	1.124908	7.662322	-0.03723	-0.02355	-0.005353	-0.363525	-0.017334	-0.0271
22.0	6.177124	1.123594	7.70117	-0.029341	-0.018462	-0.006415	-0.365479	-0.019531	-0.022705
23.0	6.194404	1.105987	7.69173	-0.022884	-0.011596	-0.006839	-0.365723	-0.019531	-0.024902
24.0	6.176863	1.135988	7.66931	-0.017202	-0.003968	-0.00568	-0.365479	-0.023682	-0.026855
25.0	6.165013	1.117161	7.680398	-0.010282	-0.000507	-0.007788	-0.367676	-0.019531	-0.0271
26.0	6.176812	1.135208	7.669467	-0.003589	0.002442	-0.00484	-0.365479	-0.019531	-0.022705
27.0	6.194392	1.104336	7.691977	0.001245	0.008699	-0.007259	-0.365723	-0.017334	-0.024902
28.0	6.191713	1.120043	7.661582	0.002204	0.010326	-0.006205	-0.358887	-0.023682	-0.020508
29.0	6.172168	1.155632	7.699783	0.00089	0.01236	-0.0081	-0.367676	-0.021729	-0.022705
30.0	6.175354	1.121934	7.702832	0.001736	0.013731	-0.004519	-0.367676	-0.019531	-0.022705
31.0	6.186165	1.140623	7.692604	0.001851	0.013987	-0.007047	-0.363525	-0.017334	-0.024902
32.0	6.172979	1.122854	7.704601	-0.000347	0.016527	-0.004834	-0.365479	-0.021729	-0.024902
33.0	6.157648	1.120103	7.685876	0.000258	0.021815	-0.004622	-0.361328	-0.015137	-0.029053
34.0	6.181583	1.14173	7.696123	0.001334	0.023698	-0.006098	-0.365723	-0.019531	-0.024902
35.0	6.156397	1.101701	7.660026	-0.005167	0.023135	-0.006417	-0.363525	-0.019531	-0.0271
36.0	6.17773	1.142296	7.699132	0.005643	0.026801	-0.003572	-0.363525	-0.019287	-0.029053
37.0	6.166331	1.105705	7.682899	0.003426	0.020904	-0.005788	-0.37207	-0.019531	-0.020508
38.0	6.161999	1.125297	7.71303	0.001648	0.026343	-0.006001	-0.369873	-0.019531	-0.0271
39.0	6.188087	1.128003	7.694818	0.001651	0.026344	-0.006004	-0.363281	-0.021729	-0.024902
40.0	6.153587	1.160551	7.713903	0.003082	0.024566	-0.006638	-0.363525	-0.019531	-0.0271
41.0	6.16797	1.145041	7.706546	0.000277	0.021817	-0.00464	-0.363525	-0.019531	-0.020508
42.0	6.154173	1.127158	7.719003	0.000583	0.024462	-0.004537	-0.365723	-0.019531	-0.024902
43.0	6.134331	1.158447	7.698207	-0.003837	0.021102	-0.004543	-0.365723	-0.017334	-0.024902
44.0	6.162748	1.145807	7.710608	0.003139	0.018262	-0.005904	-0.365967	-0.010742	-0.0271
45.0	6.133331	1.143852	7.731312	-0.007317	0.010931	-0.007917	-0.36792	-0.015137	-0.020508
46.0	6.144437	1.161649	7.721028	-0.011672	0.009703	-0.00276	-0.36792	-0.019287	-0.033447
47.0	6.118158	1.139887	7.712635	-0.009	0.003759	-0.006652	-0.365723	-0.015137	-0.022705
48.0	6.15991	1.144702	7.71304	-0.011155	-8e-06	-0.003704	-0.372314	-0.017334	-0.022705
49.0	6.147954	1.125778	7.724159	-0.014498	-0.001485	-0.005184	-0.363525	-0.017334	-0.029053
50.0	6.174548	1.142374	7.673412	-0.014801	-0.004129	-0.00529	-0.365723	-0.019531	-0.0271
51.0	6.190772	1.125776	7.664768	-0.009118	0.003503	-0.004125	-0.363281	-0.025879	-0.024902
52.0	6.174254	1.141142	7.673832	-0.016457	0.001568	-0.008036	-0.363525	-0.017334	-0.024902
53.0	6.175624	1.125368	7.705209	-0.009467	0.007165	-0.00497	-0.363525	-0.017334	-0.024902
54.0	6.151648	1.084785	7.668235	-0.006474	0.012304	-0.004334	-0.368164	-0.012939	-0.029297
55.0	6.158208	1.137206	7.65587	-0.00128	0.014906	-0.005906	-0.369873	-0.019531	-0.029053
56.0	6.154423	1.156476	7.685554	-0.001932	0.015923	-0.006857	-0.365479	-0.021484	-0.0271
57.0	6.15738	1.12257	7.688832	-0.002584	0.016941	-0.007808	-0.365723	-0.017334	-0.024902
58.0	6.165454	1.160309	7.707551	0.001351	0.015272	-0.01054	-0.369873	-0.019531	-0.024902
