Acquisition frequency: 100 Hz
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
0.0	6.177755	0.016105	8.277156	-0.00897	0.014837	-0.013408	0.000244	0.015869	-0.446289
1.0	6.197838	0.062944	8.296928	-0.008229	0.011036	-0.016975	-0.00415	0.015869	-0.446289
2.0	6.193517	0.026794	8.265377	-0.007568	0.012118	-0.015055	-0.003906	0.011475	-0.439453
3.0	6.178052	0.053394	8.311703	-0.009695	0.012209	-0.015912	-0.010254	0.00708	-0.446045
4.0	6.193129	0.04562	8.283054	-0.006646	0.012941	-0.016873	-0.008301	0.011475	-0.446289
5.0	6.190483	0.027733	8.267646	-0.009757	0.010666	-0.016496	-0.008545	0.013672	-0.44165
6.0	6.192854	0.064268	8.300639	-0.009361	0.012008	-0.010837	-0.008301	0.009277	-0.44165
7.0	6.174052	0.054283	8.314669	-0.005447	0.012023	-0.014198	-0.006348	0.018066	-0.439453
8.0	6.171582	0.036126	8.299131	-0.013793	0.007565	-0.014304	-0.006104	0.011475	-0.446289
9.0	6.170893	0.035972	8.299644	-0.009482	0.008923	-0.012004	-0.012695	0.009277	-0.443848
10.0	6.187944	0.046082	8.286925	-0.009483	0.008923	-0.012005	-0.00415	0.013672	-0.444092
11.0	6.18718	0.046055	8.287495	-0.010085	0.009379	-0.013342	-0.008545	0.015869	-0.444092
12.0	6.22196	0.066262	8.261567	-0.01095	0.010095	-0.010942	-0.006348	0.018066	-0.446289
13.0	6.18551	0.045782	8.288743	-0.009426	0.010461	-0.011421	-0.008545	0.015869	-0.446289
14.0	6.201268	0.032983	8.302008	-0.011553	0.010551	-0.01228	-0.010742	0.013672	-0.444092
15.0	6.181946	0.027235	8.274033	-0.009251	0.015082	-0.00967	-0.010498	0.009277	-0.446289
16.0	6.21507	0.024366	8.274368	-0.014971	0.016434	-0.010325	-0.006104	0.011475	-0.450928
17.0	6.179739	0.02188	8.318047	-0.010455	0.015996	-0.012346	-0.00415	0.015869	-0.437256
18.0	6.176783	0.00363	8.30288	-0.008931	0.016362	-0.012825	-0.008301	0.011475	-0.446289
19.0	6.143764	0.04722	8.294829	-0.008932	0.016361	-0.012825	-0.00415	0.013672	-0.444092
20.0	6.195129	0.050437	8.323957	-0.006864	0.014731	-0.01255	-0.008301	0.011475	-0.443848
21.0	6.159533	0.053186	8.325437	-0.008783	0.013021	-0.017733	-0.010742	0.018066	-0.444092
22.0	6.176383	0.063697	8.312906	-0.006438	0.009651	-0.012966	-0.003906	0.011475	-0.446289
23.0	6.190229	0.037719	8.267905	-0.009824	0.009113	-0.017086	-0.008545	0.015869	-0.44873
24.0	6.1552	0.040409	8.268957	-0.008737	0.005117	-0.01558	-0.006348	0.013672	-0.446289
25.0	6.205664	0.025428	8.281422	-0.010092	0.009368	-0.013348	-0.008301	0.011475	-0.44165
26.0	6.20325	0.007192	8.26587	-0.010036	0.010908	-0.012764	-0.006348	0.015869	-0.446289
27.0	6.187226	0.038126	8.27015	-0.009714	0.01219	-0.015918	-0.006348	0.013672	-0.448486
28.0	6.153376	0.05891	8.287661	-0.008512	0.011275	-0.013242	-0.00415	0.015869	-0.44873
29.0	6.167508	0.028102	8.284798	-0.01064	0.011362	-0.014103	-0.008545	0.015869	-0.444092
30.0	6.233886	0.005111	8.268133	-0.008514	0.011274	-0.013242	-0.008789	0.020264	-0.446533
31.0	6.184919	0.056747	8.289224	-0.006332	0.012726	-0.011796	-0.008301	0.011475	-0.44165
32.0	6.182729	0.033981	8.31582	-0.011243	0.011816	-0.015442	-0.006348	0.013672	-0.44165
33.0	6.199533	0.044114	8.30336	-0.011511	0.012071	-0.011703	-0.010498	0.009277	-0.446289
34.0	6.164526	0.041676	8.346659	-0.009441	0.010444	-0.011428	-0.008545	0.015869	-0.446289
35.0	6.196165	0.02564	8.288531	-0.01217	0.010987	-0.013628	-0.00415	0.015869	-0.441895
36.0	6.180131	0.056454	8.292797	-0.008518	0.01127	-0.013243	-0.00415	0.015869	-0.446289
37.0	6.193752	0.030378	8.248043	-0.008354	0.015888	-0.011487	-0.003906	0.009277	-0.450684
38.0	6.191396	0.007209	8.274753	-0.014511	0.012865	-0.010167	-0.001953	0.013672	-0.448486
39.0	6.175081	0.037705	8.279224	-0.010482	0.015972	-0.012349	-0.008545	0.018066	-0.439453
40.0	6.17218	0.019391	8.264051	-0.010429	0.017511	-0.011764	-0.003906	0.009277	-0.44165
41.0	6.188855	0.024886	8.293992	-0.008904	0.017881	-0.01224	-0.003906	0.011475	-0.446289
42.0	6.189017	0.04311	8.311207	-0.008413	0.014344	-0.012073	-0.008301	0.009277	-0.439453
43.0	6.183717	-0.016113	8.30542	-0.008468	0.012804	-0.012659	-0.008301	0.011475	-0.44165
44.0	6.152381	0.045736	8.313364	-0.008199	0.012548	-0.016399	-0.008789	0.020264	-0.446533
45.0	6.167634	0.03791	8.284773	-0.012723	0.012972	-0.014386	-0.004395	0.020264	-0.439697
46.0	6.1667	0.038082	8.285467	-0.002198	0.009469	-0.011242	-0.00415	0.013672	-0.444092
47.0	6.165493	0.043161	8.244118	-0.009727	0.012174	-0.015924	-0.003906	0.009277	-0.443848
48.0	6.181585	0.025971	8.299409	-0.008632	0.008182	-0.014419	-0.010742	0.013672	-0.444092
49.0	6.198657	0.036287	8.286807	-0.012232	0.009433	-0.014222	-0.001953	0.013672	-0.444092
50.0	6.178649	0.00783	8.284274	-0.008634	0.008181	-0.01442	-0.008301	0.011475	-0.44165
51.0	6.179286	0.026169	8.301121	-0.00913	0.011714	-0.014586	-0.006348	0.015869	-0.446289
52.0	6.178425	0.026484	8.30176	-0.005584	0.008924	-0.01537	-0.006104	0.011475	-0.439453
53.0	6.193963	0.018966	8.272993	-0.009786	0.01063	-0.016512	-0.00415	0.013672	-0.444092
54.0	6.178143	0.045431	8.319281	-0.004608	0.011291	-0.016597	-0.008545	0.015869	-0.446289
55.0	6.19359	0.038061	8.290587	-0.00766	0.010544	-0.015648	-0.00415	0.013672	-0.444092
56.0	6.194272	0.05654	8.307389	-0.009892	0.007548	-0.017687	-0.004395	0.020264	-0.444092
57.0	6.174083	0.033112	8.262766	-0.007113	0.008548	-0.014896	-0.006348	0.018066	-0.444092
58.0	6.190186	0.016136	8.318031	-0.006138	0.010915	-0.016123	-0.008545	0.013672	-0.446289
59.0	6.171237	0.010908	8.289794	-0.00919	0.010167	-0.015175	-0.006348	0.013672	-0.446289
60.0	6.188263	0.021499	8.277251	-0.007115	0.008546	-0.014897	-0.001953	0.013672	-0.44165
61.0	6.172465	0.047922	8.32348	-0.006742	0.011369	-0.017463	-0.00415	0.013672	-0.446289
62.0	6.1684	0.016717	8.2497	-0.009743	0.012159	-0.015928	-0.004395	0.018066	-0.444092
63.0	6.186951	0.04081	8.295529	-0.006794	0.009828	-0.018051	-0.012939	0.018066	-0.439453
64.0	6.168198	0.030977	8.309346	-0.006694	0.012905	-0.016876	-0.006348	0.013672	-0.446289
65.0	6.166917	0.036223	8.268103	-0.005492	0.011993	-0.014198	-0.010498	0.009277	-0.446289
66.0	6.184036	0.042086	8.297696	-0.009195	0.01016	-0.015178	-0.006348	0.013672	-0.448486
67.0	6.180399	0.006075	8.265826	-0.005543	0.010453	-0.014785	-0.006348	0.013672	-0.44165
