Acquisition frequency: 100 Hz
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
0.0	9.486471	0.783912	3.136456	0.113287	0.035761	0.020937	-0.462402	-0.002686	-0.655029
1.0	9.501569	0.832332	3.118444	0.100724	0.022704	0.015061	-0.4646	-0.002686	-0.657227
2.0	9.518981	0.80856	3.13463	0.097733	0.019986	0.015723	-0.459961	-0.00708	-0.650146
3.0	9.461006	0.822431	3.145652	0.09036	0.011252	0.01379	-0.462402	-0.004883	-0.652588
4.0	9.518601	0.811479	3.135028	0.083594	-0.003314	0.014618	-0.462158	-0.011475	-0.652344
5.0	9.527956	0.834259	3.159477	0.078831	-0.002621	0.012678	-0.464355	-0.011475	-0.652344
6.0	9.514565	0.837305	3.13849	0.065264	-0.000778	0.011182	-0.467041	-0.002686	-0.652588
7.0	9.504069	0.853457	3.175693	0.060314	-0.005667	0.007715	-0.457764	-0.004883	-0.647949
8.0	9.531187	0.78231	3.178995	0.051766	-0.016822	0.005961	-0.4646	-0.002686	-0.652588
9.0	9.504576	0.787028	3.136853	0.045243	-0.01082	0.006108	-0.464844	-0.000488	-0.648193
10.0	9.474396	0.79644	3.186433	0.036996	-0.00611	0.005531	-0.462646	-0.000488	-0.652832
11.0	9.445637	0.76917	3.172889	0.032581	-0.007438	0.001057	-0.462158	-0.009277	-0.650146
12.0	9.470182	0.753058	3.153877	0.032809	-0.013146	0.001674	-0.4646	-0.00708	-0.647949
13.0	9.461715	0.800995	3.162931	0.024898	-0.005767	-0.003341	-0.4646	-0.002686	-0.652588
14.0	9.440032	0.763862	3.203108	0.019686	0.00165	-0.004612	-0.459717	-0.013672	-0.654541
15.0	9.47973	0.777614	3.177356	0.008243	-0.00662	-0.004119	-0.466797	-0.009277	-0.645508
16.0	9.499652	0.784962	3.164138	0.008002	-0.002821	-0.009434	-0.460205	-0.004883	-0.652588
17.0	9.481892	0.811211	3.148207	-0.00036	-0.013081	-0.007743	-0.462158	-0.009277	-0.652344
18.0	9.522999	0.806295	3.207444	-0.007035	-0.017356	-0.007221	-0.466797	-0.009277	-0.656982
