Acquisition frequency: 100 Hz
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
0.0	9.41247	-0.668226	3.221989	0.008584	-0.065662	-0.020334	-0.459961	0.15625	-0.670166
1.0	9.414865	-0.665986	3.215451	0.008639	-0.074466	-0.021364	-0.453125	0.158447	-0.66333
2.0	9.446473	-0.616972	3.185586	0.002959	-0.071611	-0.019997	-0.455322	0.15625	-0.663086
3.0	9.507869	-0.609467	3.186994	-0.007409	-0.073322	-0.021647	-0.453125	0.15625	-0.658447
4.0	9.561302	-0.56624	3.148117	-0.015922	-0.066457	-0.022636	-0.450684	0.154053	-0.665527
5.0	9.563633	-0.59404	3.160315	-0.026974	-0.054644	-0.024812	-0.455322	0.158447	-0.658691
6.0	9.580395	-0.57614	3.181627	-0.040203	-0.047947	-0.028295	-0.459961	0.158203	-0.660889
7.0	9.567918	-0.605429	3.226717	-0.045928	-0.038493	-0.026142	-0.453125	0.158447	-0.66333
8.0	9.569828	-0.589622	3.280973	-0.060826	-0.029205	-0.021208	-0.459717	0.149414	-0.66748
9.0	9.593825	-0.609093	3.34487	-0.061462	-0.022284	-0.022508	-0.450928	0.15625	-0.65625
10.0	9.602584	-0.645349	3.383016	-0.072561	-0.013443	-0.018313	-0.455566	0.160645	-0.66333
11.0	9.632982	-0.687805	3.412842	-0.067969	-0.003046	-0.007904	-0.455322	0.156006	-0.65625
12.0	9.619349	-0.749948	3.479983	-0.063381	0.007349	0.002509	-0.455322	0.158447	-0.66333
13.0	9.57529	-0.771561	3.516927	-0.052487	0.014559	0.013616	-0.457764	0.160645	-0.658691
14.0	9.530529	-0.838011	3.514837	-0.037767	0.024306	0.017634	-0.455566	0.160645	-0.667969
15.0	9.471071	-0.905758	3.545002	-0.012714	0.030594	0.029374	-0.455322	0.158447	-0.65625
16.0	9.418709	-0.950635	3.57986	0.011469	0.029676	0.03708	-0.459961	0.156006	-0.663086
17.0	9.365053	-0.950929	3.521016	0.043603	0.027389	0.037596	-0.453369	0.162842	-0.656494
18.0	9.378165	-0.951392	3.492478	0.061904	0.022554	0.038126	-0.455322	0.15625	-0.663086
19.0	9.383771	-0.870747	3.463607	0.07578	0.025079	0.038115	-0.457764	0.162842	-0.658691
20.0	9.381761	-0.857289	3.390586	0.081819	0.020943	0.037642	-0.45752	0.153809	-0.660889
21.0	9.365681	-0.770843	3.370299	0.088475	0.016475	0.039248	-0.453369	0.160645	-0.656494
22.0	9.445073	-0.683383	3.317434	0.080927	0.017347	0.040736	-0.450928	0.160645	-0.658691
